Date;Time of day;Germany/Luxembourg[€/MWh];France[€/MWh];Switzerland[€/MWh]
Dec 16, 2019;12:00 AM;29.46;39.53;35.95
Dec 16, 2019;1:00 AM;30.18;33.68;34.1
Dec 16, 2019;2:00 AM;30.91;30.91;31.64
Dec 16, 2019;3:00 AM;29.49;29.49;31.03
Dec 16, 2019;4:00 AM;29.19;29.19;31.8
Dec 16, 2019;5:00 AM;31.77;31.88;36.84
Dec 16, 2019;6:00 AM;38.87;39.27;46.02
Dec 16, 2019;7:00 AM;50.01;50.28;48.99
Dec 16, 2019;8:00 AM;44.74;47.45;49.61
Dec 16, 2019;9:00 AM;42;50.36;49.42
Dec 16, 2019;10:00 AM;41.2;50.98;49.25
Dec 16, 2019;11:00 AM;41.84;49;49.06
Dec 16, 2019;12:00 PM;42.11;44.61;48.48
Dec 16, 2019;1:00 PM;44.72;45.28;48.51
Dec 16, 2019;2:00 PM;46.03;46.54;48.49
Dec 16, 2019;3:00 PM;47.34;47.74;49.04
Dec 16, 2019;4:00 PM;50;50.02;49.24
Dec 16, 2019;5:00 PM;52.01;52.01;50.54
Dec 16, 2019;6:00 PM;51.96;51.96;49.82
Dec 16, 2019;7:00 PM;48.61;49.42;49.05
Dec 16, 2019;8:00 PM;43.5;44.97;47.41
Dec 16, 2019;9:00 PM;40.1;40.56;44
Dec 16, 2019;10:00 PM;38.08;38.26;44.36
Dec 16, 2019;11:00 PM;36;36;41
Dec 17, 2019;12:00 AM;32.71;32.71;40.79
Dec 17, 2019;1:00 AM;31.9;31.9;38.01
Dec 17, 2019;2:00 AM;30.5;30.5;36.1
Dec 17, 2019;3:00 AM;29.19;29.19;36.29
Dec 17, 2019;4:00 AM;29.4;29.4;35.35
Dec 17, 2019;5:00 AM;31.25;31.25;39.05
Dec 17, 2019;6:00 AM;35.74;35.74;46.64
Dec 17, 2019;7:00 AM;44.17;44.92;49.61
Dec 17, 2019;8:00 AM;49.5;49.5;50.32
Dec 17, 2019;9:00 AM;42.35;48;49.46
Dec 17, 2019;10:00 AM;40.15;48.5;48.85
Dec 17, 2019;11:00 AM;38.23;48.06;49.07
Dec 17, 2019;12:00 PM;38.88;47.01;48.71
Dec 17, 2019;1:00 PM;39.05;46.6;48.73
Dec 17, 2019;2:00 PM;39.6;45.23;48.87
Dec 17, 2019;3:00 PM;42.52;44.85;48.8
Dec 17, 2019;4:00 PM;42.57;46;48.78
Dec 17, 2019;5:00 PM;42.83;49.35;49.35
Dec 17, 2019;6:00 PM;38.79;56.27;49.6
Dec 17, 2019;7:00 PM;36.74;55.1;48.78
Dec 17, 2019;8:00 PM;33.99;49.43;47.55
Dec 17, 2019;9:00 PM;32.69;41.55;41.18
Dec 17, 2019;10:00 PM;30.28;43.49;41.53
Dec 17, 2019;11:00 PM;28.15;39.5;39.84
Dec 18, 2019;12:00 AM;21.95;37.01;38.81
Dec 18, 2019;1:00 AM;25.39;32.69;35.45
Dec 18, 2019;2:00 AM;26.35;29.67;34.29
Dec 18, 2019;3:00 AM;26.04;26.5;33.08
Dec 18, 2019;4:00 AM;28.39;28.39;33.01
Dec 18, 2019;5:00 AM;30.19;30.3;36.92
Dec 18, 2019;6:00 AM;36.19;36.59;43.47
Dec 18, 2019;7:00 AM;42.05;48.98;48.56
Dec 18, 2019;8:00 AM;47.45;51.4;50.73
Dec 18, 2019;9:00 AM;45.71;50.8;50.4
Dec 18, 2019;10:00 AM;44.48;49.69;49.35
Dec 18, 2019;11:00 AM;48.14;48.37;48.61
Dec 18, 2019;12:00 PM;46.45;46.63;48.03
Dec 18, 2019;1:00 PM;46.79;46.79;47.72
Dec 18, 2019;2:00 PM;47.85;47.84;48.62
Dec 18, 2019;3:00 PM;47.9;46.05;50.08
Dec 18, 2019;4:00 PM;51;46.29;52.22
Dec 18, 2019;5:00 PM;54.19;54.19;54.13
Dec 18, 2019;6:00 PM;51;51;54.17
Dec 18, 2019;7:00 PM;46.3;46.3;50.99
Dec 18, 2019;8:00 PM;43.85;43.85;47.76
Dec 18, 2019;9:00 PM;39.15;39.15;41.58
Dec 18, 2019;10:00 PM;35.9;35.9;43.58
Dec 18, 2019;11:00 PM;32.19;31.87;39.33
Dec 19, 2019;12:00 AM;29.08;15;36.19
Dec 19, 2019;1:00 AM;26.41;8.66;32.3
Dec 19, 2019;2:00 AM;26.72;6.41;30.13
Dec 19, 2019;3:00 AM;24.8;4.28;29.64
Dec 19, 2019;4:00 AM;25.97;2.27;28.44
