Date;Time of day;Germany/Luxembourg[€/MWh];France[€/MWh];Switzerland[€/MWh]
Sep 23, 2019;12:00 AM;27.66;27.66;31.58
Sep 23, 2019;1:00 AM;27.2;27.2;30.49
Sep 23, 2019;2:00 AM;27.38;27.38;31.55
Sep 23, 2019;3:00 AM;27.62;24.34;31.06
Sep 23, 2019;4:00 AM;27.24;22.63;31.44
Sep 23, 2019;5:00 AM;31.31;31.29;34.5
Sep 23, 2019;6:00 AM;39.14;38.64;46.95
Sep 23, 2019;7:00 AM;48.99;48.99;50.37
Sep 23, 2019;8:00 AM;50;50;51.83
Sep 23, 2019;9:00 AM;49.98;50.2;50.92
Sep 23, 2019;10:00 AM;49.99;49.99;49.67
Sep 23, 2019;11:00 AM;50.5;48.93;50.16
Sep 23, 2019;12:00 PM;48.76;48;49.09
Sep 23, 2019;1:00 PM;48.27;45.77;48.79
Sep 23, 2019;2:00 PM;47.27;43;47.95
Sep 23, 2019;3:00 PM;48.36;41.75;47.91
Sep 23, 2019;4:00 PM;53.92;41.41;49.05
Sep 23, 2019;5:00 PM;53.97;45;51.86
Sep 23, 2019;6:00 PM;55.58;48.61;52.65
Sep 23, 2019;7:00 PM;64.98;55.4;53.01
Sep 23, 2019;8:00 PM;53.1;52.48;53.22
Sep 23, 2019;9:00 PM;49.21;49.21;49.22
Sep 23, 2019;10:00 PM;42.85;42.85;46.02
Sep 23, 2019;11:00 PM;35.79;41;40.37
Sep 24, 2019;12:00 AM;36.35;32.47;36.19
Sep 24, 2019;1:00 AM;35.44;28.14;35.33
Sep 24, 2019;2:00 AM;35.24;24.24;34.5
Sep 24, 2019;3:00 AM;35.43;22.85;34.8
Sep 24, 2019;4:00 AM;36.33;19.97;35.01
Sep 24, 2019;5:00 AM;38.95;23.93;37.75
Sep 24, 2019;6:00 AM;55.98;39.07;48.9
Sep 24, 2019;7:00 AM;65.17;49.75;52.11
Sep 24, 2019;8:00 AM;65.19;50.01;53.33
Sep 24, 2019;9:00 AM;53.04;50.26;50.66
Sep 24, 2019;10:00 AM;52.95;49.2;49.1
Sep 24, 2019;11:00 AM;50.9;48.19;47.95
Sep 24, 2019;12:00 PM;49.15;44.97;46.05
Sep 24, 2019;1:00 PM;46.99;42.23;45.88
Sep 24, 2019;2:00 PM;45.74;40.01;45.7
Sep 24, 2019;3:00 PM;46.82;39.57;46.36
Sep 24, 2019;4:00 PM;49.77;39.91;47.59
Sep 24, 2019;5:00 PM;54.96;41.8;49.04
Sep 24, 2019;6:00 PM;60.2;47.57;49.43
Sep 24, 2019;7:00 PM;54.19;54.44;50.99
Sep 24, 2019;8:00 PM;51.18;53.34;49.65
Sep 24, 2019;9:00 PM;46.41;48.25;45.38
Sep 24, 2019;10:00 PM;37.58;41.02;39.66
Sep 24, 2019;11:00 PM;34.72;34.72;35.93
Sep 25, 2019;12:00 AM;34.31;34.27;35.04
Sep 25, 2019;1:00 AM;33.17;25.79;34.31
Sep 25, 2019;2:00 AM;33;24.12;34.57
Sep 25, 2019;3:00 AM;34.25;19.35;34.11
Sep 25, 2019;4:00 AM;34.9;16.01;34.49
Sep 25, 2019;5:00 AM;36.5;22.05;37.94
Sep 25, 2019;6:00 AM;50.91;31.99;48.56
Sep 25, 2019;7:00 AM;56.97;45.54;51.63
Sep 25, 2019;8:00 AM;62.08;49.36;52.58
Sep 25, 2019;9:00 AM;56.64;49.19;52.14
Sep 25, 2019;10:00 AM;51.67;49.11;50.87
Sep 25, 2019;11:00 AM;50.98;48.03;49.67
Sep 25, 2019;12:00 PM;49.8;48.88;48.31
Sep 25, 2019;1:00 PM;50.24;46.83;46.88
Sep 25, 2019;2:00 PM;50.02;44.16;46.42
Sep 25, 2019;3:00 PM;49.95;40.18;46.57
Sep 25, 2019;4:00 PM;48.48;40.89;48.58
Sep 25, 2019;5:00 PM;49.99;44.96;51.51
Sep 25, 2019;6:00 PM;54.19;46.99;49.9
Sep 25, 2019;7:00 PM;59.66;50.14;52.57
Sep 25, 2019;8:00 PM;51.74;51.74;53.32
Sep 25, 2019;9:00 PM;47.68;47.68;48.44
Sep 25, 2019;10:00 PM;39.69;41.83;43.43
Sep 25, 2019;11:00 PM;35.05;38.15;38.11
Sep 26, 2019;12:00 AM;34.18;41.11;36.43
Sep 26, 2019;1:00 AM;32.92;32.15;35.12
Sep 26, 2019;2:00 AM;31.8;28.07;34.22
Sep 26, 2019;3:00 AM;31.55;20.18;34.25
Sep 26, 2019;4:00 AM;32.12;20.91;34.43
Sep 26, 2019;5:00 AM;34.9;24.9;36.06
Sep 26, 2019;6:00 AM;46.21;39.77;46.73
Sep 26, 2019;7:00 AM;50.29;50.29;52.12
Sep 26, 2019;8:00 AM;51.51;51.51;53.2
Sep 26, 2019;9:00 AM;50.52;50.74;50.4
Sep 26, 2019;10:00 AM;49.84;49.84;48.45
Sep 26, 2019;11:00 AM;48.93;48.88;47.09
Sep 26, 2019;12:00 PM;47.35;46.27;46.48
Sep 26, 2019;1:00 PM;46.6;40.02;45.9
Sep 26, 2019;2:00 PM;44.7;34.87;45.86
Sep 26, 2019;3:00 PM;44.37;33.26;45.72
Sep 26, 2019;4:00 PM;44.38;33.49;44.1
Sep 26, 2019;5:00 PM;45.04;39.09;43.93
Sep 26, 2019;6:00 PM;45.28;45.75;45.1
Sep 26, 2019;7:00 PM;43.4;50;46.29
Sep 26, 2019;8:00 PM;42.49;50.94;43.85
Sep 26, 2019;9:00 PM;36.12;42.41;40.93
Sep 26, 2019;10:00 PM;32.8;37.47;38.33
Sep 26, 2019;11:00 PM;30.29;31.42;35.76
Sep 27, 2019;12:00 AM;29.05;29.05;34.59
Sep 27, 2019;1:00 AM;27.95;27.52;31.06
Sep 27, 2019;2:00 AM;27.9;26.76;30.79
Sep 27, 2019;3:00 AM;27.99;20.51;30.95
Sep 27, 2019;4:00 AM;28.87;17.95;31.28
Sep 27, 2019;5:00 AM;31.9;19.24;33.82
Sep 27, 2019;6:00 AM;42.55;40.03;41.87
Sep 27, 2019;7:00 AM;48.37;48.37;47.34
Sep 27, 2019;8:00 AM;50.31;50.31;48.74
Sep 27, 2019;9:00 AM;50.08;50.15;47.85
Sep 27, 2019;10:00 AM;47.27;49.55;47.06
Sep 27, 2019;11:00 AM;44.14;49.27;47.27
Sep 27, 2019;12:00 PM;38.81;45.98;45.08
Sep 27, 2019;1:00 PM;35.72;41.11;45.38
Sep 27, 2019;2:00 PM;34.46;37.08;44.45
Sep 27, 2019;3:00 PM;33.94;32.11;44.38
Sep 27, 2019;4:00 PM;36.79;32.9;43.41
Sep 27, 2019;5:00 PM;44.8;36.24;43.99
Sep 27, 2019;6:00 PM;46.54;42.99;44.12
Sep 27, 2019;7:00 PM;48.36;48.36;45.56
Sep 27, 2019;8:00 PM;47.49;47.49;43.59
Sep 27, 2019;9:00 PM;35.14;35.14;36.02
Sep 27, 2019;10:00 PM;34;35.52;35.66
Sep 27, 2019;11:00 PM;30.07;30.2;34.04
Sep 28, 2019;12:00 AM;26.5;26.5;33.69
Sep 28, 2019;1:00 AM;24.5;20.17;32.44
Sep 28, 2019;2:00 AM;23;21.79;31.19
Sep 28, 2019;3:00 AM;22.78;18.2;31.09
Sep 28, 2019;4:00 AM;22.94;14.86;30.39
Sep 28, 2019;5:00 AM;22.73;15.22;32.32
Sep 28, 2019;6:00 AM;25.94;23.5;33.6
Sep 28, 2019;7:00 AM;27.46;27.46;35.51
Sep 28, 2019;8:00 AM;33.2;33.2;36.4
Sep 28, 2019;9:00 AM;34.58;34.58;36.43
Sep 28, 2019;10:00 AM;30.11;31.83;36.52
Sep 28, 2019;11:00 AM;25.7;31.85;36.99
Sep 28, 2019;12:00 PM;14.06;34.94;35.76
Sep 28, 2019;1:00 PM;-1.56;20.89;35.67
Sep 28, 2019;2:00 PM;-2.77;13.63;35.01
Sep 28, 2019;3:00 PM;10.27;15.55;35.24
Sep 28, 2019;4:00 PM;23;24;34.31
Sep 28, 2019;5:00 PM;32.28;32.28;35.17
Sep 28, 2019;6:00 PM;38.19;38.19;36.03
Sep 28, 2019;7:00 PM;43.69;43.69;38.79
Sep 28, 2019;8:00 PM;33.4;41.59;37.97
Sep 28, 2019;9:00 PM;26.1;36.31;35.17
Sep 28, 2019;10:00 PM;22.99;41.54;35.22
Sep 28, 2019;11:00 PM;19.38;39.1;33.05
Sep 29, 2019;12:00 AM;-2.97;24.44;27.6
Sep 29, 2019;1:00 AM;1.19;24.4;25.52
Sep 29, 2019;2:00 AM;12.79;18.31;23.87
Sep 29, 2019;3:00 AM;13.15;16.16;16.98
Sep 29, 2019;4:00 AM;13.96;15.01;16.94
Sep 29, 2019;5:00 AM;13.08;13.08;20.42
Sep 29, 2019;6:00 AM;18.11;18.11;25.15
Sep 29, 2019;7:00 AM;22.43;19.7;28.01
Sep 29, 2019;8:00 AM;22.48;22.48;30.82
Sep 29, 2019;9:00 AM;23.49;23.49;30.94
Sep 29, 2019;10:00 AM;18.13;18.13;23.89
Sep 29, 2019;11:00 AM;18.02;20.38;23.73
Sep 29, 2019;12:00 PM;7.22;15.01;25.84
Sep 29, 2019;1:00 PM;-0.33;10.61;19.15
Sep 29, 2019;2:00 PM;-12.77;1.79;15.08
Sep 29, 2019;3:00 PM;-10.92;0.82;15.1
Sep 29, 2019;4:00 PM;-0.47;6.3;21.96
Sep 29, 2019;5:00 PM;6.83;12.59;29.06
Sep 29, 2019;6:00 PM;16.58;19.54;33.66
Sep 29, 2019;7:00 PM;28;30.23;35.28
Sep 29, 2019;8:00 PM;25.48;29.08;33.93
Sep 29, 2019;9:00 PM;13.97;20.21;32.71
Sep 29, 2019;10:00 PM;13.92;21.8;29.93
Sep 29, 2019;11:00 PM;3.99;25.41;27.25
Sep 30, 2019;12:00 AM;5.07;14.81;26.36
Sep 30, 2019;1:00 AM;-3.93;11.84;20.91
Sep 30, 2019;2:00 AM;-24.32;10.2;20.32
Sep 30, 2019;3:00 AM;-37.29;7.07;18.28
Sep 30, 2019;4:00 AM;-32.38;7.55;19.38
Sep 30, 2019;5:00 AM;-0.49;15.58;27.2
Sep 30, 2019;6:00 AM;29.9;32.66;35
Sep 30, 2019;7:00 AM;45.33;46.02;43.1
Sep 30, 2019;8:00 AM;40.33;46.46;49.09
Sep 30, 2019;9:00 AM;29.21;48.76;48.9
Sep 30, 2019;10:00 AM;28.21;47.97;49.12
Sep 30, 2019;11:00 AM;25.41;46.54;49.14
Sep 30, 2019;12:00 PM;11.82;45.02;46.08
Sep 30, 2019;1:00 PM;12.99;40.08;43.21
Sep 30, 2019;2:00 PM;6.9;36.91;41.6
Sep 30, 2019;3:00 PM;25.32;33.88;42.13
Sep 30, 2019;4:00 PM;26.62;40.3;42.03
Sep 30, 2019;5:00 PM;41.39;47.05;43.43
Sep 30, 2019;6:00 PM;50.18;51.13;49.91
Sep 30, 2019;7:00 PM;64.37;64.37;54.24
Sep 30, 2019;8:00 PM;57.34;57.34;52.93
Sep 30, 2019;9:00 PM;49.27;49.27;46.64
Sep 30, 2019;10:00 PM;44.58;44.58;43.1
Sep 30, 2019;11:00 PM;34.6;34.6;39.29
