Date;Time of day;Germany/Luxembourg[€/MWh];France[€/MWh];Switzerland[€/MWh]
Sep 9, 2019;12:00 AM;38.33;38.33;35.03
Sep 9, 2019;1:00 AM;34.09;34.09;33.15
Sep 9, 2019;2:00 AM;33.03;32.81;32.17
Sep 9, 2019;3:00 AM;32.09;30.41;31.93
Sep 9, 2019;4:00 AM;32.44;29.72;32.04
Sep 9, 2019;5:00 AM;34.16;31.88;35.62
Sep 9, 2019;6:00 AM;48.18;42.45;42.01
Sep 9, 2019;7:00 AM;63.52;47;43.62
Sep 9, 2019;8:00 AM;71.36;48.58;44.86
Sep 9, 2019;9:00 AM;56.51;50.07;45.43
Sep 9, 2019;10:00 AM;48.71;48.07;46.3
Sep 9, 2019;11:00 AM;47.83;46.77;46.92
Sep 9, 2019;12:00 PM;46;46;44.32
Sep 9, 2019;1:00 PM;45.23;45.23;44.15
Sep 9, 2019;2:00 PM;42.64;42.64;42.94
Sep 9, 2019;3:00 PM;42.23;42.23;42.97
Sep 9, 2019;4:00 PM;41.6;41.6;43.26
Sep 9, 2019;5:00 PM;45.14;45.14;42.97
Sep 9, 2019;6:00 PM;49.99;49.99;42.86
Sep 9, 2019;7:00 PM;60.94;57.09;43.15
Sep 9, 2019;8:00 PM;57.48;56.95;42.99
Sep 9, 2019;9:00 PM;45.94;45.94;42.79
Sep 9, 2019;10:00 PM;40.38;40.38;42.22
Sep 9, 2019;11:00 PM;34.35;34.35;39.65
Sep 10, 2019;12:00 AM;33.01;33.01;33.12
Sep 10, 2019;1:00 AM;32.45;32.45;31.44
Sep 10, 2019;2:00 AM;31;31;30.53
Sep 10, 2019;3:00 AM;30.02;29;30.19
Sep 10, 2019;4:00 AM;29.9;27.56;30.1
Sep 10, 2019;5:00 AM;32.23;28;31.73
Sep 10, 2019;6:00 AM;41;33;38.98
Sep 10, 2019;7:00 AM;44.95;44.95;42.92
Sep 10, 2019;8:00 AM;45.93;45.93;43.11
Sep 10, 2019;9:00 AM;41;41;41.08
Sep 10, 2019;10:00 AM;36;36;39.17
Sep 10, 2019;11:00 AM;32.6;32.6;36.95
Sep 10, 2019;12:00 PM;31.04;32.98;34.68
Sep 10, 2019;1:00 PM;31.07;32.88;34.04
Sep 10, 2019;2:00 PM;31.3;31.3;33.11
Sep 10, 2019;3:00 PM;32.01;32.01;33.71
Sep 10, 2019;4:00 PM;34.1;34.1;35.08
Sep 10, 2019;5:00 PM;39.18;39.18;40.01
Sep 10, 2019;6:00 PM;44.94;41.09;42.68
Sep 10, 2019;7:00 PM;48.02;42.63;44.72
Sep 10, 2019;8:00 PM;51.59;43.29;44.54
Sep 10, 2019;9:00 PM;42.75;42.75;42.87
Sep 10, 2019;10:00 PM;35.89;35.89;40.09
Sep 10, 2019;11:00 PM;31.7;31.7;34.96
Sep 11, 2019;12:00 AM;31.25;31.25;31.06
Sep 11, 2019;1:00 AM;30.23;30.23;30.33
Sep 11, 2019;2:00 AM;28.62;28.29;29.91
Sep 11, 2019;3:00 AM;28.88;24.36;29.49
Sep 11, 2019;4:00 AM;29.9;17.35;30.01
Sep 11, 2019;5:00 AM;30.64;22.91;31.64
Sep 11, 2019;6:00 AM;38.82;33.75;39.22
Sep 11, 2019;7:00 AM;42.57;42.57;42.14
Sep 11, 2019;8:00 AM;43.25;43.25;43.3
Sep 11, 2019;9:00 AM;39.82;39.82;40.64
Sep 11, 2019;10:00 AM;36.29;36.29;36.88
Sep 11, 2019;11:00 AM;33.94;33.94;33.26
Sep 11, 2019;12:00 PM;30.55;32.07;31.67
Sep 11, 2019;1:00 PM;28.79;28.79;31.63
Sep 11, 2019;2:00 PM;28.68;28.68;30.99
Sep 11, 2019;3:00 PM;30.02;30.02;31.02
Sep 11, 2019;4:00 PM;29.33;29.33;31.9
Sep 11, 2019;5:00 PM;33.06;33.06;34.51
Sep 11, 2019;6:00 PM;37.34;37.34;38.42
Sep 11, 2019;7:00 PM;39.67;39.67;40.29
Sep 11, 2019;8:00 PM;41.1;41.1;41.08
Sep 11, 2019;9:00 PM;38.37;38.37;38.02
Sep 11, 2019;10:00 PM;33.04;33.04;33.25
Sep 11, 2019;11:00 PM;30.1;31.54;30.19
Sep 12, 2019;12:00 AM;27.88;27.88;30.93
Sep 12, 2019;1:00 AM;27.21;27.21;31.04
Sep 12, 2019;2:00 AM;27.53;27.53;30.5
Sep 12, 2019;3:00 AM;26.89;26.07;29.96
Sep 12, 2019;4:00 AM;28.03;26.56;30.96
Sep 12, 2019;5:00 AM;30.74;29.13;32.95
Sep 12, 2019;6:00 AM;44.66;41.51;42.29
Sep 12, 2019;7:00 AM;50.32;47.65;45.85
Sep 12, 2019;8:00 AM;55.55;52.73;46.42
Sep 12, 2019;9:00 AM;47.96;47.96;46.98
Sep 12, 2019;10:00 AM;43.93;43.93;45.26
Sep 12, 2019;11:00 AM;41.97;41.97;42.92
Sep 12, 2019;12:00 PM;40.99;40.99;39.94
Sep 12, 2019;1:00 PM;35.28;35.28;36.86
Sep 12, 2019;2:00 PM;32.68;32.68;35.31
Sep 12, 2019;3:00 PM;32.72;32.72;35.58
Sep 12, 2019;4:00 PM;32.75;32.75;36.07
Sep 12, 2019;5:00 PM;39.9;39.9;40.09
Sep 12, 2019;6:00 PM;42;42;44.75
Sep 12, 2019;7:00 PM;44.27;44.27;46.07
Sep 12, 2019;8:00 PM;44.17;44.17;46.93
Sep 12, 2019;9:00 PM;41.51;41.51;42.83
Sep 12, 2019;10:00 PM;36.84;38.05;37.04
Sep 12, 2019;11:00 PM;30.93;32.86;32.79
Sep 13, 2019;12:00 AM;30.05;30.05;31.78
Sep 13, 2019;1:00 AM;28.31;28.31;29.95
Sep 13, 2019;2:00 AM;27.11;27.11;28.5
Sep 13, 2019;3:00 AM;26.24;26.24;27.04
Sep 13, 2019;4:00 AM;27.05;27.05;27.02
Sep 13, 2019;5:00 AM;30.01;30.01;29.86
Sep 13, 2019;6:00 AM;40.01;40.01;38.88
Sep 13, 2019;7:00 AM;43.98;43.98;42.73
Sep 13, 2019;8:00 AM;45.72;45.72;43.11
Sep 13, 2019;9:00 AM;44.69;44.69;41.43
Sep 13, 2019;10:00 AM;43.65;43.65;39.2
Sep 13, 2019;11:00 AM;42.21;42.21;37.39
Sep 13, 2019;12:00 PM;40.92;41.12;36.34
Sep 13, 2019;1:00 PM;38.11;38.29;34.26
Sep 13, 2019;2:00 PM;37.06;37.11;33.51
Sep 13, 2019;3:00 PM;36.25;36.25;33.94
Sep 13, 2019;4:00 PM;37.53;37.53;34.79
Sep 13, 2019;5:00 PM;42.48;42.48;40.77
Sep 13, 2019;6:00 PM;46.13;46.13;42.9
Sep 13, 2019;7:00 PM;50.91;49.37;44.25
Sep 13, 2019;8:00 PM;52.07;49;43.6
Sep 13, 2019;9:00 PM;44.91;44.91;42.41
Sep 13, 2019;10:00 PM;42.02;42.02;40.5
Sep 13, 2019;11:00 PM;39;39;35.96
Sep 14, 2019;12:00 AM;39.7;39.7;36.79
Sep 14, 2019;1:00 AM;32.5;32.5;34.17
Sep 14, 2019;2:00 AM;32.07;32.07;33.03
Sep 14, 2019;3:00 AM;31.95;28.36;32.59
Sep 14, 2019;4:00 AM;31.93;22.33;32.54
Sep 14, 2019;5:00 AM;31.98;28;33.47
Sep 14, 2019;6:00 AM;32.86;31.12;36.46
Sep 14, 2019;7:00 AM;40.52;32.3;39.41
Sep 14, 2019;8:00 AM;41.95;35.81;40.1
Sep 14, 2019;9:00 AM;41.77;41.77;40.3
Sep 14, 2019;10:00 AM;36.49;36.49;37.53
Sep 14, 2019;11:00 AM;32.54;32.54;36.05
Sep 14, 2019;12:00 PM;31.28;31.28;33.83
Sep 14, 2019;1:00 PM;30.01;30.01;32.88
Sep 14, 2019;2:00 PM;28.03;28.03;32.08
Sep 14, 2019;3:00 PM;28.02;28.02;32.08
Sep 14, 2019;4:00 PM;30;30;33.26
Sep 14, 2019;5:00 PM;35.48;35.48;37.24
Sep 14, 2019;6:00 PM;42.96;42.42;43.61
Sep 14, 2019;7:00 PM;50.85;43.92;43.62
Sep 14, 2019;8:00 PM;47.99;47.99;44.31
Sep 14, 2019;9:00 PM;44.05;44.05;43.54
Sep 14, 2019;10:00 PM;40.95;40.95;40.62
Sep 14, 2019;11:00 PM;32.89;32.89;35.74
Sep 15, 2019;12:00 AM;33.08;33.08;29.36
Sep 15, 2019;1:00 AM;29.4;29.4;25.95
Sep 15, 2019;2:00 AM;25.35;25.35;23.83
Sep 15, 2019;3:00 AM;17.86;17.86;22.13
Sep 15, 2019;4:00 AM;16.29;16.41;20.98
Sep 15, 2019;5:00 AM;17.42;17.78;20.78
Sep 15, 2019;6:00 AM;19.75;21.98;21.64
Sep 15, 2019;7:00 AM;19.15;22.23;22.26
Sep 15, 2019;8:00 AM;24.24;25.67;23.09
Sep 15, 2019;9:00 AM;24.83;27.31;23.7
Sep 15, 2019;10:00 AM;20.99;26.15;22.74
Sep 15, 2019;11:00 AM;8.51;22.33;18.02
Sep 15, 2019;12:00 PM;-0.07;22.67;19.06
Sep 15, 2019;1:00 PM;-7.45;14.21;16.32
Sep 15, 2019;2:00 PM;-6.83;11.63;15.57
Sep 15, 2019;3:00 PM;0.07;15.95;18.02
Sep 15, 2019;4:00 PM;25.48;26.77;23.52
Sep 15, 2019;5:00 PM;32.4;32.4;31.4
Sep 15, 2019;6:00 PM;41.75;41.75;36.72
Sep 15, 2019;7:00 PM;43.96;43.96;43.44
Sep 15, 2019;8:00 PM;48.9;48.9;44.07
Sep 15, 2019;9:00 PM;47.99;47.99;42.1
Sep 15, 2019;10:00 PM;45.91;45.91;40.73
Sep 15, 2019;11:00 PM;41.17;41.17;37.94
Sep 16, 2019;12:00 AM;32.45;32.45;33.74
Sep 16, 2019;1:00 AM;32.57;32.57;33.07
Sep 16, 2019;2:00 AM;32.09;32.09;32.05
Sep 16, 2019;3:00 AM;30.43;30.43;32.07
Sep 16, 2019;4:00 AM;30.92;30.92;31.85
Sep 16, 2019;5:00 AM;33.3;33.3;33.98
Sep 16, 2019;6:00 AM;50.67;46.44;45.6
Sep 16, 2019;7:00 AM;52.98;49.93;52.28
