Date;Time of day;Germany/Luxembourg[€/MWh];France[€/MWh];Switzerland[€/MWh]
Apr 8, 2019;12:00 AM;38.84;38.84;40.81
Apr 8, 2019;1:00 AM;37.7;37.7;38.93
Apr 8, 2019;2:00 AM;36.73;36.73;37.14
Apr 8, 2019;3:00 AM;36.3;36.3;36.93
Apr 8, 2019;4:00 AM;37.2;37.2;38.73
Apr 8, 2019;5:00 AM;41.6;41.6;42.57
Apr 8, 2019;6:00 AM;54.96;54.96;47.27
Apr 8, 2019;7:00 AM;59.47;59.47;53.01
Apr 8, 2019;8:00 AM;60;60;57.83
Apr 8, 2019;9:00 AM;58.62;58.62;54
Apr 8, 2019;10:00 AM;49.1;51.77;48.78
Apr 8, 2019;11:00 AM;44.4;47.63;47.17
Apr 8, 2019;12:00 PM;42.82;47.4;45.93
Apr 8, 2019;1:00 PM;41.85;43.97;45.02
Apr 8, 2019;2:00 PM;40.42;42.66;43.91
Apr 8, 2019;3:00 PM;40.17;40.17;43.99
Apr 8, 2019;4:00 PM;39.73;39.73;44
Apr 8, 2019;5:00 PM;42.84;42.84;44.64
Apr 8, 2019;6:00 PM;45.05;45.05;46.05
Apr 8, 2019;7:00 PM;48.46;48.46;48.55
Apr 8, 2019;8:00 PM;46.58;46.58;47.23
Apr 8, 2019;9:00 PM;43.42;43.53;44.64
Apr 8, 2019;10:00 PM;41.94;43.39;43.92
Apr 8, 2019;11:00 PM;37.44;45.42;42.38
Apr 9, 2019;12:00 AM;34.75;40.97;41.83
Apr 9, 2019;1:00 AM;34.69;40.55;38.36
Apr 9, 2019;2:00 AM;35.6;35.6;35
Apr 9, 2019;3:00 AM;34.96;34.96;34.54
Apr 9, 2019;4:00 AM;35.12;35.12;35.03
Apr 9, 2019;5:00 AM;37.47;37.47;38.91
Apr 9, 2019;6:00 AM;47.2;47.2;47.99
Apr 9, 2019;7:00 AM;52.08;52.08;53.75
Apr 9, 2019;8:00 AM;55.32;55.32;56.1
Apr 9, 2019;9:00 AM;49.47;49.47;52.18
Apr 9, 2019;10:00 AM;46.73;46.97;47.58
Apr 9, 2019;11:00 AM;44.79;46.01;46.51
Apr 9, 2019;12:00 PM;42.76;44.26;46.09
Apr 9, 2019;1:00 PM;40.94;43.41;43.94
Apr 9, 2019;2:00 PM;39.59;39.59;41.25
Apr 9, 2019;3:00 PM;37.38;37.38;39.09
Apr 9, 2019;4:00 PM;37.39;37.39;39.23
Apr 9, 2019;5:00 PM;40.71;40.71;43.18
Apr 9, 2019;6:00 PM;44.09;44.09;46.21
Apr 9, 2019;7:00 PM;47.01;47.01;48.03
Apr 9, 2019;8:00 PM;45.94;45.94;47.06
Apr 9, 2019;9:00 PM;42.76;42.76;45.45
Apr 9, 2019;10:00 PM;42.01;42.01;43.99
Apr 9, 2019;11:00 PM;39.07;39.07;42.61
Apr 10, 2019;12:00 AM;37.51;40.27;38.04
Apr 10, 2019;1:00 AM;37.18;37.18;37
Apr 10, 2019;2:00 AM;36.54;36.54;36.29
Apr 10, 2019;3:00 AM;35.78;35.78;35.72
Apr 10, 2019;4:00 AM;36.63;36.63;36.19
Apr 10, 2019;5:00 AM;38.55;38.55;38.88
Apr 10, 2019;6:00 AM;46.99;46.99;48.07
Apr 10, 2019;7:00 AM;54.43;54.43;51.78
Apr 10, 2019;8:00 AM;58.02;58.02;54.91
Apr 10, 2019;9:00 AM;50.59;54.35;50.13
