Date;Time of day;Germany/Luxembourg[€/MWh];France[€/MWh];Switzerland[€/MWh]
Feb 11, 2019;12:00 AM;-0.01;25.34;42.14
Feb 11, 2019;1:00 AM;-1.22;24.31;39.92
Feb 11, 2019;2:00 AM;-0.04;21.06;37.06
Feb 11, 2019;3:00 AM;-3.54;18.72;37.04
Feb 11, 2019;4:00 AM;-3.95;20;38.02
Feb 11, 2019;5:00 AM;5.65;27.77;43.17
Feb 11, 2019;6:00 AM;39.91;49.51;54.02
Feb 11, 2019;7:00 AM;49.04;59.23;56.1
Feb 11, 2019;8:00 AM;49.41;59.85;56.57
Feb 11, 2019;9:00 AM;44.99;60.48;56.81
Feb 11, 2019;10:00 AM;39.94;58.53;56.42
Feb 11, 2019;11:00 AM;38.73;57.2;54.09
Feb 11, 2019;12:00 PM;36.59;54.33;53.22
Feb 11, 2019;1:00 PM;38.54;54.35;53.29
Feb 11, 2019;2:00 PM;38.66;49.68;53.3
Feb 11, 2019;3:00 PM;38.86;45.88;55.15
Feb 11, 2019;4:00 PM;38.61;49.92;53.85
Feb 11, 2019;5:00 PM;48.11;58.78;56
Feb 11, 2019;6:00 PM;48.51;63.75;60.1
Feb 11, 2019;7:00 PM;48.73;66.25;59.6
Feb 11, 2019;8:00 PM;47.96;59.76;59.02
Feb 11, 2019;9:00 PM;41.27;52.24;56.33
Feb 11, 2019;10:00 PM;45.19;48.6;55.45
Feb 11, 2019;11:00 PM;37.34;45.59;53.72
Feb 12, 2019;12:00 AM;37.29;45.8;46.6
Feb 12, 2019;1:00 AM;32.8;42.79;42.71
Feb 12, 2019;2:00 AM;29.71;43.84;40.61
Feb 12, 2019;3:00 AM;31;39.02;39.1
Feb 12, 2019;4:00 AM;36.08;38.12;38.89
Feb 12, 2019;5:00 AM;40.02;40.02;42.77
Feb 12, 2019;6:00 AM;46.44;46.83;55
Feb 12, 2019;7:00 AM;55.19;58.01;59.85
Feb 12, 2019;8:00 AM;54.91;61.29;61.44
Feb 12, 2019;9:00 AM;57.33;59.6;60.68
Feb 12, 2019;10:00 AM;55.66;57.95;59.03
Feb 12, 2019;11:00 AM;50.93;56.24;56.49
Feb 12, 2019;12:00 PM;50.02;54.35;54.94
Feb 12, 2019;1:00 PM;49.59;50.62;53.65
Feb 12, 2019;2:00 PM;49.98;49.98;52.59
Feb 12, 2019;3:00 PM;50.17;50.17;53.9
Feb 12, 2019;4:00 PM;52.84;52.84;55.37
Feb 12, 2019;5:00 PM;56.92;56.92;57.07
Feb 12, 2019;6:00 PM;60.47;60.47;61.11
Feb 12, 2019;7:00 PM;51.27;65.83;61.47
Feb 12, 2019;8:00 PM;45.96;59.47;58.13
Feb 12, 2019;9:00 PM;41.6;52.3;54.29
Feb 12, 2019;10:00 PM;43.96;48.59;51.19
Feb 12, 2019;11:00 PM;41.51;42.31;45.76
Feb 13, 2019;12:00 AM;34.14;40.37;47.54
Feb 13, 2019;1:00 AM;37.21;38.98;46.03
Feb 13, 2019;2:00 AM;36.29;41.27;43.32
Feb 13, 2019;3:00 AM;33.31;41.16;41.18
Feb 13, 2019;4:00 AM;37.58;37.68;40.71
Feb 13, 2019;5:00 AM;35.34;40.58;48.36
Feb 13, 2019;6:00 AM;45.84;45.95;50.28
Feb 13, 2019;7:00 AM;52.46;58.59;55.98
Feb 13, 2019;8:00 AM;49.99;65.31;56.2
Feb 13, 2019;9:00 AM;47.33;61.98;55.31
Feb 13, 2019;10:00 AM;46.96;56.68;54.92
Feb 13, 2019;11:00 AM;46.66;54.42;54.25
Feb 13, 2019;12:00 PM;46.14;51.02;52.76
Feb 13, 2019;1:00 PM;46.15;49.09;50.23
Feb 13, 2019;2:00 PM;46.3;46.3;50.23
Feb 13, 2019;3:00 PM;46.82;46.82;50.68
Feb 13, 2019;4:00 PM;49.71;49.71;51.07
Feb 13, 2019;5:00 PM;53.94;53.94;54.17
Feb 13, 2019;6:00 PM;56.55;56.55;57.2
Feb 13, 2019;7:00 PM;54.34;61.02;56.79
Feb 13, 2019;8:00 PM;50.13;55.18;55.45
Feb 13, 2019;9:00 PM;46.42;47.14;48.14
Feb 13, 2019;10:00 PM;46.43;48.34;48.19
Feb 13, 2019;11:00 PM;43.16;44.61;43.6
Feb 14, 2019;12:00 AM;40.74;44.51;44.18
Feb 14, 2019;1:00 AM;39.15;39.15;42.92
Feb 14, 2019;2:00 AM;38.64;40.58;42.62
Feb 14, 2019;3:00 AM;39;39;42.06
Feb 14, 2019;4:00 AM;38.47;38.47;42.9
Feb 14, 2019;5:00 AM;43.04;43.04;45.05
Feb 14, 2019;6:00 AM;53.17;55.27;52.21
Feb 14, 2019;7:00 AM;60.73;60.73;60.19
Feb 14, 2019;8:00 AM;63.67;63.67;62.04
Feb 14, 2019;9:00 AM;56.99;62.07;57.09
Feb 14, 2019;10:00 AM;53.01;55.97;55.4
Feb 14, 2019;11:00 AM;46.12;53.66;53.42
Feb 14, 2019;12:00 PM;44;50.42;50.43
Feb 14, 2019;1:00 PM;44.65;46.64;48.95
Feb 14, 2019;2:00 PM;44.62;44.62;46.83
Feb 14, 2019;3:00 PM;47.12;47.12;48.97
Feb 14, 2019;4:00 PM;52.39;52.39;51.87
Feb 14, 2019;5:00 PM;55.63;55.63;55.58
Feb 14, 2019;6:00 PM;60.2;60.2;59.93
Feb 14, 2019;7:00 PM;61.93;61.93;59.95
Feb 14, 2019;8:00 PM;54.97;54.97;55.04
Feb 14, 2019;9:00 PM;49.69;49.69;50.46
Feb 14, 2019;10:00 PM;47.48;47.5;49.53
Feb 14, 2019;11:00 PM;42.76;43.6;45.29
Feb 15, 2019;12:00 AM;43.75;44.64;43.56
Feb 15, 2019;1:00 AM;42.19;42.19;40.95
Feb 15, 2019;2:00 AM;41.72;41.72;40.59
Feb 15, 2019;3:00 AM;40.19;40.19;40.1
Feb 15, 2019;4:00 AM;41.1;41.1;40.44
Feb 15, 2019;5:00 AM;43.67;43.67;43.79
Feb 15, 2019;6:00 AM;52.98;52.98;52.57
Feb 15, 2019;7:00 AM;59.98;59.98;59.08
Feb 15, 2019;8:00 AM;61.73;61.73;61.25
Feb 15, 2019;9:00 AM;55.41;56.19;55.25
Feb 15, 2019;10:00 AM;51.71;53.13;52.08
Feb 15, 2019;11:00 AM;44.11;51.01;45.44
Feb 15, 2019;12:00 PM;42.87;45.84;45.19
Feb 15, 2019;1:00 PM;42.43;44.7;43.54
Feb 15, 2019;2:00 PM;42.52;42.52;43.37
Feb 15, 2019;3:00 PM;44.41;44.41;44.15
Feb 15, 2019;4:00 PM;48.18;48.18;48.8
Feb 15, 2019;5:00 PM;53.61;53.61;52.93
Feb 15, 2019;6:00 PM;56.54;56.54;55.71
Feb 15, 2019;7:00 PM;55.49;55.49;54.97
Feb 15, 2019;8:00 PM;51;52.07;49.25
Feb 15, 2019;9:00 PM;43.37;45.58;45.86
Feb 15, 2019;10:00 PM;44.43;48.42;46.03
Feb 15, 2019;11:00 PM;39.45;46.42;44.03
Feb 16, 2019;12:00 AM;35.42;50.1;43.96
Feb 16, 2019;1:00 AM;35.19;46.79;42.05
Feb 16, 2019;2:00 AM;36;41.68;39.96
Feb 16, 2019;3:00 AM;36.29;39.79;39.23
Feb 16, 2019;4:00 AM;36.52;36.52;39.47
Feb 16, 2019;5:00 AM;35.5;40.46;39.91
Feb 16, 2019;6:00 AM;38.39;42.21;42.28
Feb 16, 2019;7:00 AM;40.39;46.78;46.45
Feb 16, 2019;8:00 AM;40.94;47.95;49.2
Feb 16, 2019;9:00 AM;36.08;48.57;50.33
Feb 16, 2019;10:00 AM;31.09;47.3;46.65
Feb 16, 2019;11:00 AM;35.19;39.05;41.46
Feb 16, 2019;12:00 PM;35.62;41.99;40.91
Feb 16, 2019;1:00 PM;36;37.03;38.48
Feb 16, 2019;2:00 PM;37.21;37.82;38
Feb 16, 2019;3:00 PM;39.61;39.61;37.86
Feb 16, 2019;4:00 PM;42.11;42.11;40.89
Feb 16, 2019;5:00 PM;46.83;46.83;49.77
Feb 16, 2019;6:00 PM;52.06;52.38;51.25
Feb 16, 2019;7:00 PM;48;56.41;51.98
Feb 16, 2019;8:00 PM;46.47;46.47;48.41
Feb 16, 2019;9:00 PM;40.67;40.67;43.09
Feb 16, 2019;10:00 PM;38.99;47.45;43.69
Feb 16, 2019;11:00 PM;40.7;40.7;42.03
Feb 17, 2019;12:00 AM;35.57;43.74;40.96
Feb 17, 2019;1:00 AM;35.46;40.1;38.12
Feb 17, 2019;2:00 AM;37.24;37.24;37.04
Feb 17, 2019;3:00 AM;36.27;36.27;36.52
Feb 17, 2019;4:00 AM;36.13;36.13;37.03
Feb 17, 2019;5:00 AM;36.74;36.74;36.54
Feb 17, 2019;6:00 AM;36.52;36.52;38.43
Feb 17, 2019;7:00 AM;38.82;38.82;42.09
Feb 17, 2019;8:00 AM;40;40;43.14
Feb 17, 2019;9:00 AM;38.88;38.88;42.35
Feb 17, 2019;10:00 AM;36.15;37.93;41.76
Feb 17, 2019;11:00 AM;36.5;36.5;40.67
Feb 17, 2019;12:00 PM;37.41;37.41;39.57
Feb 17, 2019;1:00 PM;35.09;35.09;37.18
Feb 17, 2019;2:00 PM;35.12;35.12;36.56
Feb 17, 2019;3:00 PM;36.27;36.27;36.89
Feb 17, 2019;4:00 PM;39.36;39.36;39.51
Feb 17, 2019;5:00 PM;44.03;44.03;45.63
Feb 17, 2019;6:00 PM;49.6;49.6;50.83
Feb 17, 2019;7:00 PM;50.07;50.07;50.2
Feb 17, 2019;8:00 PM;46.15;46.15;46.89
Feb 17, 2019;9:00 PM;38.27;38.62;42.37
Feb 17, 2019;10:00 PM;42.83;42.83;42.96
Feb 17, 2019;11:00 PM;38.75;38.75;43.46
Feb 18, 2019;12:00 AM;39.41;39.41;40.02
Feb 18, 2019;1:00 AM;38.78;38.78;39.06
Feb 18, 2019;2:00 AM;38.78;38.78;38.04
Feb 18, 2019;3:00 AM;38.2;38.2;37.07
Feb 18, 2019;4:00 AM;38.8;38.8;37.74
Feb 18, 2019;5:00 AM;40;40;41.11
Feb 18, 2019;6:00 AM;51.72;51.72;49.57
Feb 18, 2019;7:00 AM;57.37;57.37;54.9
Feb 18, 2019;8:00 AM;56.01;56.01;56.06
Feb 18, 2019;9:00 AM;52.61;52.61;52.74
Feb 18, 2019;10:00 AM;48.43;48.43;51.83
Feb 18, 2019;11:00 AM;44.81;45.35;49.74
Feb 18, 2019;12:00 PM;43.09;43.75;47.54
Feb 18, 2019;1:00 PM;42.91;43.51;46.38
Feb 18, 2019;2:00 PM;44.73;44.73;45.86
Feb 18, 2019;3:00 PM;47.35;47.35;47.08
Feb 18, 2019;4:00 PM;50.9;50.9;50.73
Feb 18, 2019;5:00 PM;52.94;52.94;52.77
Feb 18, 2019;6:00 PM;56.94;56.94;55.13
Feb 18, 2019;7:00 PM;55.76;55.76;54.02
Feb 18, 2019;8:00 PM;51.91;51.91;51.92
Feb 18, 2019;9:00 PM;43.98;43.98;46.97
Feb 18, 2019;10:00 PM;42.23;46.86;46.83
Feb 18, 2019;11:00 PM;35.87;44.42;43.96
Feb 19, 2019;12:00 AM;36.09;36.23;43.12
Feb 19, 2019;1:00 AM;35.43;38.47;41.09
Feb 19, 2019;2:00 AM;35.42;38.24;42.52
Feb 19, 2019;3:00 AM;36;36;40.47
Feb 19, 2019;4:00 AM;36.08;36.08;40.46
Feb 19, 2019;5:00 AM;38.1;38.1;46.23
Feb 19, 2019;6:00 AM;44.95;45.68;51.23
Feb 19, 2019;7:00 AM;48.68;55.79;54.96
Feb 19, 2019;8:00 AM;46.76;60.05;55.19
Feb 19, 2019;9:00 AM;44.22;54.03;54.69
Feb 19, 2019;10:00 AM;41.37;53.11;53.44
Feb 19, 2019;11:00 AM;36.45;53.27;52.05
Feb 19, 2019;12:00 PM;36.31;50;51.09
Feb 19, 2019;1:00 PM;36.41;46.59;50.53
Feb 19, 2019;2:00 PM;38.09;44.41;49.43
Feb 19, 2019;3:00 PM;38.87;41.1;49.97
Feb 19, 2019;4:00 PM;42.9;43.8;50.2
Feb 19, 2019;5:00 PM;50.92;50.92;52.03
Feb 19, 2019;6:00 PM;54.09;54.09;54.38
Feb 19, 2019;7:00 PM;52.42;54.6;55.03
Feb 19, 2019;8:00 PM;44.9;52.54;53.14
Feb 19, 2019;9:00 PM;41.63;51.23;50.62
Feb 19, 2019;10:00 PM;39.74;47.31;50.69
Feb 19, 2019;11:00 PM;35.69;46.78;49.7
Feb 20, 2019;12:00 AM;35.26;39.44;43.09
Feb 20, 2019;1:00 AM;34.88;37.61;41.08
Feb 20, 2019;2:00 AM;32.95;38.75;39.95
Feb 20, 2019;3:00 AM;35.06;35.2;39.03
Feb 20, 2019;4:00 AM;36.06;36.06;38.76
Feb 20, 2019;5:00 AM;38.06;38.06;40.99
Feb 20, 2019;6:00 AM;49.12;49.24;48.31
Feb 20, 2019;7:00 AM;54.66;54.75;54.4
Feb 20, 2019;8:00 AM;54.58;55.09;55.07
Feb 20, 2019;9:00 AM;53.08;53.37;53.03
Feb 20, 2019;10:00 AM;52.09;52.09;52.11
Feb 20, 2019;11:00 AM;49.73;50.85;50.75
Feb 20, 2019;12:00 PM;43.74;50.92;48.99
Feb 20, 2019;1:00 PM;45.05;45.5;46.49
Feb 20, 2019;2:00 PM;45.58;45.91;47.25
Feb 20, 2019;3:00 PM;46.01;46.12;47.4
Feb 20, 2019;4:00 PM;49.79;49.79;48.86
Feb 20, 2019;5:00 PM;51.96;51.96;52.1
Feb 20, 2019;6:00 PM;54.25;54.25;53.59
Feb 20, 2019;7:00 PM;54.34;54.67;54.06
Feb 20, 2019;8:00 PM;50.75;51.61;51.09
Feb 20, 2019;9:00 PM;44.06;47.46;48.6
Feb 20, 2019;10:00 PM;43.27;49.71;46.62
Feb 20, 2019;11:00 PM;40.13;43.36;43.17
Feb 21, 2019;12:00 AM;37.13;47.39;40.92
Feb 21, 2019;1:00 AM;36;40.98;39.05
Feb 21, 2019;2:00 AM;35.49;40.31;38.54
Feb 21, 2019;3:00 AM;35.36;35.36;38.03
Feb 21, 2019;4:00 AM;36.08;36.08;38
Feb 21, 2019;5:00 AM;37.9;37.9;39.64
Feb 21, 2019;6:00 AM;45.35;48.95;49.96
Feb 21, 2019;7:00 AM;49.78;57.7;55.18
Feb 21, 2019;8:00 AM;50.5;56.32;54.09
Feb 21, 2019;9:00 AM;46.7;54.51;52.67
Feb 21, 2019;10:00 AM;43.2;52.64;51.67
Feb 21, 2019;11:00 AM;40.2;51.22;51.06
Feb 21, 2019;12:00 PM;36.44;49.46;49.44
Feb 21, 2019;1:00 PM;37.15;45.51;48.59
Feb 21, 2019;2:00 PM;39.13;39.52;49.03
Feb 21, 2019;3:00 PM;42.89;43.02;49.09
Feb 21, 2019;4:00 PM;46.3;46.3;48.99
Feb 21, 2019;5:00 PM;50.61;50.61;51.01
Feb 21, 2019;6:00 PM;53.1;53.1;52.58
Feb 21, 2019;7:00 PM;52.98;55.12;52.17
Feb 21, 2019;8:00 PM;51.39;51.39;51.75
Feb 21, 2019;9:00 PM;46.13;46.13;45.96
Feb 21, 2019;10:00 PM;45.08;45.08;46.8
Feb 21, 2019;11:00 PM;42.69;44.01;40.53
Feb 22, 2019;12:00 AM;41.48;41.78;43.47
Feb 22, 2019;1:00 AM;40.32;40.32;40.47
Feb 22, 2019;2:00 AM;39.84;39.84;38.7
Feb 22, 2019;3:00 AM;39.59;39.59;38.6
Feb 22, 2019;4:00 AM;39.35;39.35;38.45
Feb 22, 2019;5:00 AM;42;42;41.14
Feb 22, 2019;6:00 AM;50.4;50.46;50.68
Feb 22, 2019;7:00 AM;55.03;55.1;54.95
Feb 22, 2019;8:00 AM;57.95;58.02;56.4
Feb 22, 2019;9:00 AM;55.62;55.62;54.69
Feb 22, 2019;10:00 AM;54.14;54.14;53.27
