Date;Time of day;Germany/Luxembourg[€/MWh];France[€/MWh];Switzerland[€/MWh]
Jan 28, 2019;12:00 AM;42.4;45.33;47.13
Jan 28, 2019;1:00 AM;40.97;40.97;43.16
Jan 28, 2019;2:00 AM;40.42;40.42;40.38
Jan 28, 2019;3:00 AM;37.8;37.8;39.96
Jan 28, 2019;4:00 AM;38.09;38.09;40.31
Jan 28, 2019;5:00 AM;41.83;41.83;46.4
Jan 28, 2019;6:00 AM;53.09;53.08;55.61
Jan 28, 2019;7:00 AM;64.04;64.04;63.9
Jan 28, 2019;8:00 AM;64.88;65.1;65.93
Jan 28, 2019;9:00 AM;62.2;65;65.32
Jan 28, 2019;10:00 AM;58.38;63.96;64.7
Jan 28, 2019;11:00 AM;55.92;57.44;64.29
Jan 28, 2019;12:00 PM;55.12;57.97;62.96
Jan 28, 2019;1:00 PM;51.36;54.95;62.91
Jan 28, 2019;2:00 PM;48.63;52.3;62.97
Jan 28, 2019;3:00 PM;47.34;51.49;62.65
Jan 28, 2019;4:00 PM;48.83;53.97;61.74
Jan 28, 2019;5:00 PM;60.83;62.38;65.85
Jan 28, 2019;6:00 PM;59.64;71.51;69.95
Jan 28, 2019;7:00 PM;54.37;70.01;68.34
Jan 28, 2019;8:00 PM;47.54;68.65;67.48
Jan 28, 2019;9:00 PM;45.69;63.71;64.04
Jan 28, 2019;10:00 PM;46.36;64.29;63.69
Jan 28, 2019;11:00 PM;43.91;57.12;59.09
Jan 29, 2019;12:00 AM;44.87;55;58.04
Jan 29, 2019;1:00 AM;48.07;50.15;52.27
Jan 29, 2019;2:00 AM;47.49;49.89;51.44
Jan 29, 2019;3:00 AM;44.59;47.43;51.49
Jan 29, 2019;4:00 AM;45.97;45.97;50.96
Jan 29, 2019;5:00 AM;46.46;49.07;53.06
Jan 29, 2019;6:00 AM;55.82;56.91;62.79
Jan 29, 2019;7:00 AM;67.67;68.77;71.77
Jan 29, 2019;8:00 AM;72.8;73.14;75.29
Jan 29, 2019;9:00 AM;70.63;73.1;75.05
Jan 29, 2019;10:00 AM;70.38;72.95;72.09
Jan 29, 2019;11:00 AM;67.51;72.25;71.55
Jan 29, 2019;12:00 PM;64.03;69.98;67.71
Jan 29, 2019;1:00 PM;63.84;68.99;66.86
Jan 29, 2019;2:00 PM;66.56;66.56;65.06
Jan 29, 2019;3:00 PM;66;66;65.92
Jan 29, 2019;4:00 PM;69.33;69.33;67.8
Jan 29, 2019;5:00 PM;71.45;71.45;73.3
Jan 29, 2019;6:00 PM;72.82;72.82;75.93
Jan 29, 2019;7:00 PM;69.81;69.81;71.59
Jan 29, 2019;8:00 PM;59.51;65.84;69.24
Jan 29, 2019;9:00 PM;55.74;57.05;62.94
Jan 29, 2019;10:00 PM;53.83;59.06;61.64
Jan 29, 2019;11:00 PM;49.34;52.63;57.8
Jan 30, 2019;12:00 AM;46.52;48.51;53.29
Jan 30, 2019;1:00 AM;46.36;46.36;51.91
Jan 30, 2019;2:00 AM;45.1;45.1;51.46
Jan 30, 2019;3:00 AM;42.85;42.85;51.39
Jan 30, 2019;4:00 AM;42.74;42.74;50.75
Jan 30, 2019;5:00 AM;46.34;46.34;52.62
Jan 30, 2019;6:00 AM;52.09;52.44;59.85
Jan 30, 2019;7:00 AM;64.99;64.99;66.04
Jan 30, 2019;8:00 AM;68.17;68.17;69.42
Jan 30, 2019;9:00 AM;66.76;68.65;69.04
Jan 30, 2019;10:00 AM;59.06;68.07;69.01
Jan 30, 2019;11:00 AM;53.03;68.06;68.15
Jan 30, 2019;12:00 PM;54.19;65.48;67.39
Jan 30, 2019;1:00 PM;49.7;63.65;66.14
Jan 30, 2019;2:00 PM;53.56;60.47;64.8
Jan 30, 2019;3:00 PM;49.37;58.3;64.19
Jan 30, 2019;4:00 PM;52.65;61.15;65.31
Jan 30, 2019;5:00 PM;60.49;64.98;68.79
Jan 30, 2019;6:00 PM;62.53;71.85;71.46
Jan 30, 2019;7:00 PM;59.28;70.14;71.13
Jan 30, 2019;8:00 PM;50.02;65.24;66.26
Jan 30, 2019;9:00 PM;51.01;60.77;61.1
Jan 30, 2019;10:00 PM;50.08;57.38;60.19
Jan 30, 2019;11:00 PM;46.86;58.58;59.63
Jan 31, 2019;12:00 AM;47.17;55.33;54.96
Jan 31, 2019;1:00 AM;45.47;49.62;52.33
Jan 31, 2019;2:00 AM;45.43;49.47;51.52
Jan 31, 2019;3:00 AM;46.82;46.82;49.16
Jan 31, 2019;4:00 AM;45.08;45.08;49.21
Jan 31, 2019;5:00 AM;48.7;48.7;52.38
Jan 31, 2019;6:00 AM;62.41;62.71;60.91
Jan 31, 2019;7:00 AM;71.7;71.7;71.9
Jan 31, 2019;8:00 AM;78.49;78.49;77.03
Jan 31, 2019;9:00 AM;69.08;75.58;75.68
Jan 31, 2019;10:00 AM;67.35;71.64;72.32
Jan 31, 2019;11:00 AM;67.94;69.42;70.69
Jan 31, 2019;12:00 PM;66.81;66.81;67.23
Jan 31, 2019;1:00 PM;66.22;66.22;67.08
Jan 31, 2019;2:00 PM;66.16;66.16;66.62
Jan 31, 2019;3:00 PM;66.16;66.16;66.29
Jan 31, 2019;4:00 PM;65.35;65.35;67.85
Jan 31, 2019;5:00 PM;66.68;66.68;69.52
Jan 31, 2019;6:00 PM;66.98;66.98;70.48
