Date;Time of day;Germany/Luxembourg[€/MWh];France[€/MWh];Switzerland[€/MWh]
May 6, 2019;12:00 AM;37.9;41.11;36.45
May 6, 2019;1:00 AM;34.99;36.97;34.77
May 6, 2019;2:00 AM;34.92;36.18;34.18
May 6, 2019;3:00 AM;33.34;35;34.03
May 6, 2019;4:00 AM;33.07;33.87;34.04
May 6, 2019;5:00 AM;36.35;36.35;37.94
May 6, 2019;6:00 AM;45.85;45.85;44.54
May 6, 2019;7:00 AM;51.63;51.63;48.97
May 6, 2019;8:00 AM;48.84;48.84;51.54
May 6, 2019;9:00 AM;45.22;45.22;47.16
May 6, 2019;10:00 AM;44.75;45.18;45.87
May 6, 2019;11:00 AM;45.04;45.77;45.69
May 6, 2019;12:00 PM;44.4;45.32;44.39
May 6, 2019;1:00 PM;44.19;44.19;42.51
May 6, 2019;2:00 PM;42.08;42.08;42.01
May 6, 2019;3:00 PM;41.09;41.09;41.1
May 6, 2019;4:00 PM;41.16;41.16;40.75
May 6, 2019;5:00 PM;43.87;43.87;44.16
May 6, 2019;6:00 PM;47.19;47.19;46.4
May 6, 2019;7:00 PM;54.4;54.4;49.14
May 6, 2019;8:00 PM;56.14;56.14;49.6
May 6, 2019;9:00 PM;56.14;56.14;48.12
May 6, 2019;10:00 PM;55;55;47.64
May 6, 2019;11:00 PM;45.33;45.66;45.1
May 7, 2019;12:00 AM;42.32;42.32;42.64
May 7, 2019;1:00 AM;40.98;40.98;41.59
May 7, 2019;2:00 AM;40.8;40.8;40.49
May 7, 2019;3:00 AM;40.03;40.03;39.5
May 7, 2019;4:00 AM;40.03;40.03;39.55
May 7, 2019;5:00 AM;42.71;42.71;42.69
May 7, 2019;6:00 AM;51.59;51.59;49.62
May 7, 2019;7:00 AM;60.16;60.16;57.7
May 7, 2019;8:00 AM;63.9;63.9;60.6
May 7, 2019;9:00 AM;57.53;57.53;52.95
May 7, 2019;10:00 AM;50.61;55.11;49.1
May 7, 2019;11:00 AM;51.2;54.03;48.14
May 7, 2019;12:00 PM;47.61;50.94;46.43
May 7, 2019;1:00 PM;48.94;48.94;46.09
May 7, 2019;2:00 PM;48;48;45.45
May 7, 2019;3:00 PM;46.77;46.77;45.04
May 7, 2019;4:00 PM;47.1;47.1;45.15
May 7, 2019;5:00 PM;48.94;48.94;47.94
May 7, 2019;6:00 PM;57.45;54;53.91
May 7, 2019;7:00 PM;64.99;62.57;61.37
May 7, 2019;8:00 PM;68.61;52.94;61.55
May 7, 2019;9:00 PM;55;55;58.09
May 7, 2019;10:00 PM;50.98;50.98;54.83
May 7, 2019;11:00 PM;45;45;46.93
May 8, 2019;12:00 AM;44.18;44.18;43.27
May 8, 2019;1:00 AM;39.03;39.03;39.95
May 8, 2019;2:00 AM;35.96;35.96;38.75
May 8, 2019;3:00 AM;35.79;35.79;37.4
May 8, 2019;4:00 AM;35.08;35.08;36.18
May 8, 2019;5:00 AM;36.48;34.64;39.63
May 8, 2019;6:00 AM;44.33;33.96;45.05
May 8, 2019;7:00 AM;49.44;39.48;48.79
May 8, 2019;8:00 AM;49.02;44.49;51.77
May 8, 2019;9:00 AM;46.2;46.2;47.9
May 8, 2019;10:00 AM;44.66;44.66;46.59
May 8, 2019;11:00 AM;43.5;43.5;45.09
May 8, 2019;12:00 PM;42.87;42.87;41.48
May 8, 2019;1:00 PM;38.19;38.19;39.65
May 8, 2019;2:00 PM;35.78;35.78;38.27
May 8, 2019;3:00 PM;34.9;34.9;37.47
May 8, 2019;4:00 PM;34.38;34.38;39.77
May 8, 2019;5:00 PM;35.59;33;41.26
May 8, 2019;6:00 PM;37.35;37.35;42.87
May 8, 2019;7:00 PM;39.19;39.19;43.16
May 8, 2019;8:00 PM;39.61;39.61;43.55
May 8, 2019;9:00 PM;38.01;38.01;40.56
May 8, 2019;10:00 PM;35.24;37.28;38.77
May 8, 2019;11:00 PM;32.58;34.16;33.78
May 9, 2019;12:00 AM;33.92;33.92;31.21
May 9, 2019;1:00 AM;32.01;32.01;29.81
May 9, 2019;2:00 AM;30.26;30.26;28.73
May 9, 2019;3:00 AM;30.69;30.69;28.76
May 9, 2019;4:00 AM;33.1;33.1;28.45
May 9, 2019;5:00 AM;37.07;37.07;32.96
May 9, 2019;6:00 AM;45.99;45.99;42.33
May 9, 2019;7:00 AM;49.92;49.92;47.89
May 9, 2019;8:00 AM;54.66;54.66;49.1
May 9, 2019;9:00 AM;52.19;52.19;47.16
May 9, 2019;10:00 AM;49.95;49.95;46.93
May 9, 2019;11:00 AM;49.93;49.93;47.49
May 9, 2019;12:00 PM;49.05;49.05;46.54
May 9, 2019;1:00 PM;47.76;47.76;46.05
May 9, 2019;2:00 PM;45.76;45.76;43.86
May 9, 2019;3:00 PM;45.33;45.33;42.37
May 9, 2019;4:00 PM;45.54;45.54;43.22
May 9, 2019;5:00 PM;49.71;46.5;45
May 9, 2019;6:00 PM;49.98;47.55;48.3
May 9, 2019;7:00 PM;55.05;50.87;50.95
May 9, 2019;8:00 PM;55.24;50.72;52.33
May 9, 2019;9:00 PM;49.9;49.9;50.9
