Date;Time of day;Germany/Luxembourg[€/MWh];France[€/MWh];Switzerland[€/MWh]
Mar 11, 2019;12:00 AM;21.8;23.64;23.49
Mar 11, 2019;1:00 AM;19.81;22.71;16.4
Mar 11, 2019;2:00 AM;22.02;24.97;21.05
Mar 11, 2019;3:00 AM;16.21;19.06;25.23
Mar 11, 2019;4:00 AM;18.22;20.55;17.13
Mar 11, 2019;5:00 AM;24.4;25.8;26.22
Mar 11, 2019;6:00 AM;39.45;39.61;35.29
Mar 11, 2019;7:00 AM;47.96;47.96;46.05
Mar 11, 2019;8:00 AM;48.06;48.06;46.34
Mar 11, 2019;9:00 AM;46.84;46.84;45.94
Mar 11, 2019;10:00 AM;45.31;45.31;44.78
Mar 11, 2019;11:00 AM;42.66;42.66;45.34
Mar 11, 2019;12:00 PM;39.95;39.95;44.55
Mar 11, 2019;1:00 PM;38.69;38.69;44.73
Mar 11, 2019;2:00 PM;36.9;36.9;44.49
Mar 11, 2019;3:00 PM;37.11;37.11;45
Mar 11, 2019;4:00 PM;39;39;44.95
Mar 11, 2019;5:00 PM;46.28;46.28;45.63
Mar 11, 2019;6:00 PM;50.29;50.29;49.27
Mar 11, 2019;7:00 PM;57.9;57.9;51.04
Mar 11, 2019;8:00 PM;50.06;50.19;48.59
Mar 11, 2019;9:00 PM;47.52;47.57;46.9
Mar 11, 2019;10:00 PM;47.61;47.61;46.63
Mar 11, 2019;11:00 PM;44.01;44.01;44.96
Mar 12, 2019;12:00 AM;40.98;40.98;44.51
Mar 12, 2019;1:00 AM;38.97;38.97;40.6
Mar 12, 2019;2:00 AM;36.91;36.91;37.81
Mar 12, 2019;3:00 AM;35;35;36.07
Mar 12, 2019;4:00 AM;32.92;32.92;35.64
Mar 12, 2019;5:00 AM;36.3;36.3;37.62
Mar 12, 2019;6:00 AM;46.83;46.83;47.33
Mar 12, 2019;7:00 AM;52.05;52.05;50.05
Mar 12, 2019;8:00 AM;51.37;51.37;49.03
Mar 12, 2019;9:00 AM;48.02;48.02;47.61
Mar 12, 2019;10:00 AM;43.81;44.1;46.67
Mar 12, 2019;11:00 AM;38.72;39.84;43.61
Mar 12, 2019;12:00 PM;35.82;37.43;40.3
Mar 12, 2019;1:00 PM;31.76;34.02;44
Mar 12, 2019;2:00 PM;31.06;33.37;38.09
Mar 12, 2019;3:00 PM;32.93;34.91;38
Mar 12, 2019;4:00 PM;35.26;36.7;36.89
Mar 12, 2019;5:00 PM;40.06;40.33;39.11
Mar 12, 2019;6:00 PM;44.02;44.02;46.39
Mar 12, 2019;7:00 PM;41.57;44.68;47.09
Mar 12, 2019;8:00 PM;33.01;38.45;45.32
Mar 12, 2019;9:00 PM;26.49;30.99;34.32
Mar 12, 2019;10:00 PM;23.87;33.98;35.1
Mar 12, 2019;11:00 PM;0.36;33.67;33.62
Mar 13, 2019;12:00 AM;7.07;26.85;29.47
Mar 13, 2019;1:00 AM;0.06;22.28;28.04
Mar 13, 2019;2:00 AM;-0.07;25.33;30.43
Mar 13, 2019;3:00 AM;2.45;11.78;26.43
Mar 13, 2019;4:00 AM;8.09;14.61;19.66
Mar 13, 2019;5:00 AM;19.17;21.87;33.14
Mar 13, 2019;6:00 AM;25.91;28.67;36.27
Mar 13, 2019;7:00 AM;36.48;38.52;38.52
Mar 13, 2019;8:00 AM;26;37.89;41.03
Mar 13, 2019;9:00 AM;18.5;32.56;39.68
Mar 13, 2019;10:00 AM;2.28;29.5;40.53
Mar 13, 2019;11:00 AM;8.24;28.46;38.49
Mar 13, 2019;12:00 PM;10.8;29.88;36.29
Mar 13, 2019;1:00 PM;5.23;29.14;36.27
Mar 13, 2019;2:00 PM;13.97;30.04;36.23
Mar 13, 2019;3:00 PM;20.07;27.54;36.23
Mar 13, 2019;4:00 PM;23.83;27.98;36.2
Mar 13, 2019;5:00 PM;30.62;33.4;36.25
Mar 13, 2019;6:00 PM;35.55;36.7;40.33
Mar 13, 2019;7:00 PM;39.91;43.05;41.96
Mar 13, 2019;8:00 PM;30.25;34.39;40.57
Mar 13, 2019;9:00 PM;25.52;30.08;34.99
Mar 13, 2019;10:00 PM;24.3;27.35;36.22
Mar 13, 2019;11:00 PM;18.9;25.17;34.24
Mar 14, 2019;12:00 AM;24.17;28.14;28.92
Mar 14, 2019;1:00 AM;22.25;26.86;24.98
Mar 14, 2019;2:00 AM;20.37;25.88;25.05
Mar 14, 2019;3:00 AM;20.5;24.32;18.68
Mar 14, 2019;4:00 AM;22.33;23.72;20.34
Mar 14, 2019;5:00 AM;27.08;27.18;28.9
Mar 14, 2019;6:00 AM;37.69;37.69;34.46
Mar 14, 2019;7:00 AM;42.37;43.46;40.72
Mar 14, 2019;8:00 AM;42.6;43.72;39.94
Mar 14, 2019;9:00 AM;38.56;41.19;39.01
Mar 14, 2019;10:00 AM;40.32;42.12;38.06
Mar 14, 2019;11:00 AM;39.29;41.13;38.92
Mar 14, 2019;12:00 PM;39.26;41.27;38.76
Mar 14, 2019;1:00 PM;38.67;39.75;38.9
Mar 14, 2019;2:00 PM;37.79;38.29;38.24
Mar 14, 2019;3:00 PM;34.85;36.62;36.19
Mar 14, 2019;4:00 PM;31.11;34.81;35.93
Mar 14, 2019;5:00 PM;34.62;36.34;37.32
Mar 14, 2019;6:00 PM;37.58;38.73;40.53
Mar 14, 2019;7:00 PM;39.13;42.39;42.33
Mar 14, 2019;8:00 PM;33.6;38.51;36.57
Mar 14, 2019;9:00 PM;29.79;32.09;31.53
Mar 14, 2019;10:00 PM;27.38;31.88;31.89
Mar 14, 2019;11:00 PM;19.76;26.99;29.17
Mar 15, 2019;12:00 AM;11.91;26.71;26.52
Mar 15, 2019;1:00 AM;13.43;18.89;23.88
Mar 15, 2019;2:00 AM;11.37;16.56;20.54
Mar 15, 2019;3:00 AM;7.65;12.12;19
Mar 15, 2019;4:00 AM;13.17;16.68;19.31
Mar 15, 2019;5:00 AM;22.28;23.63;24.56
Mar 15, 2019;6:00 AM;28.6;29.72;34.04
Mar 15, 2019;7:00 AM;40.79;41.41;40.35
Mar 15, 2019;8:00 AM;42.56;42.94;40.7
Mar 15, 2019;9:00 AM;42.59;42.59;39.93
Mar 15, 2019;10:00 AM;41.54;41.54;39.93
Mar 15, 2019;11:00 AM;40.97;40.97;39.71
Mar 15, 2019;12:00 PM;39.91;39.91;39.6
Mar 15, 2019;1:00 PM;33.54;33.98;38.99
Mar 15, 2019;2:00 PM;25.89;28.27;34.16
Mar 15, 2019;3:00 PM;24.76;27.33;32.06
Mar 15, 2019;4:00 PM;22.46;25.32;32.1
Mar 15, 2019;5:00 PM;24.47;27.26;32
Mar 15, 2019;6:00 PM;28.75;32.4;31.04
Mar 15, 2019;7:00 PM;35.94;39.41;32.67
Mar 15, 2019;8:00 PM;24.34;30.63;30.28
Mar 15, 2019;9:00 PM;17.19;24.63;28.68
Mar 15, 2019;10:00 PM;0.07;32.45;28.96
