Date;Time of day;Germany/Luxembourg[€/MWh];France[€/MWh];Switzerland[€/MWh]
Dec 30, 2019;12:00 AM;11.07;26.06;27.57
Dec 30, 2019;1:00 AM;11.84;23.46;25.87
Dec 30, 2019;2:00 AM;6.16;22;22.6
Dec 30, 2019;3:00 AM;1.4;15.07;19.66
Dec 30, 2019;4:00 AM;4.81;15.68;19.65
Dec 30, 2019;5:00 AM;16.43;21.7;22.31
Dec 30, 2019;6:00 AM;26.9;30;27.99
Dec 30, 2019;7:00 AM;30.38;38;38.99
Dec 30, 2019;8:00 AM;32.04;41.26;40.59
Dec 30, 2019;9:00 AM;31.9;42.42;42
Dec 30, 2019;10:00 AM;29.06;42.42;41.32
Dec 30, 2019;11:00 AM;26.94;40.98;38.59
Dec 30, 2019;12:00 PM;30.3;39.38;37.2
Dec 30, 2019;1:00 PM;30.61;37.73;38
Dec 30, 2019;2:00 PM;31.53;34.96;38.82
Dec 30, 2019;3:00 PM;33.61;35.16;40.62
Dec 30, 2019;4:00 PM;35.25;36.46;43.06
Dec 30, 2019;5:00 PM;38.09;43.59;45.03
Dec 30, 2019;6:00 PM;39.35;46.42;46.78
Dec 30, 2019;7:00 PM;31.58;47.82;46.36
Dec 30, 2019;8:00 PM;30.68;40.6;44.03
Dec 30, 2019;9:00 PM;29.67;36.77;39.65
Dec 30, 2019;10:00 PM;29.68;38.27;38.31
Dec 30, 2019;11:00 PM;24.33;37.55;37.29
Dec 31, 2019;12:00 AM;24.14;37.55;35.13
Dec 31, 2019;1:00 AM;22.12;34.22;32.37
Dec 31, 2019;2:00 AM;13.01;30.95;30.02
Dec 31, 2019;3:00 AM;4.97;29.8;28.57
Dec 31, 2019;4:00 AM;9.81;28.59;28.53
Dec 31, 2019;5:00 AM;18.37;30.95;31.41
Dec 31, 2019;6:00 AM;23.5;30.75;35.94
Dec 31, 2019;7:00 AM;27.17;37.01;42.01
Dec 31, 2019;8:00 AM;36.56;40.15;42.08
Dec 31, 2019;9:00 AM;40.43;42.15;41.8
Dec 31, 2019;10:00 AM;32.22;42.25;39.98
Dec 31, 2019;11:00 AM;38.98;39.53;37.93
Dec 31, 2019;12:00 PM;38.6;38.6;37.04
Dec 31, 2019;1:00 PM;37.9;37.9;35.81
Dec 31, 2019;2:00 PM;38;38;36.2
Dec 31, 2019;3:00 PM;39.58;39.58;38.74
Dec 31, 2019;4:00 PM;42.28;42.28;40.11
Dec 31, 2019;5:00 PM;46.06;46.06;43.43
Dec 31, 2019;6:00 PM;47.73;47.73;44
Dec 31, 2019;7:00 PM;46;46;42.73
Dec 31, 2019;8:00 PM;42.2;42.2;39.71
Dec 31, 2019;9:00 PM;39.74;39.74;36.77
Dec 31, 2019;10:00 PM;38.88;38.88;36.9
Dec 31, 2019;11:00 PM;37.39;37.37;35.27
Jan 1, 2020;12:00 AM;41.88;41.88;35.42
Jan 1, 2020;1:00 AM;38.6;38.6;34.04
Jan 1, 2020;2:00 AM;36.55;36.55;31.52
Jan 1, 2020;3:00 AM;32.32;32.32;28.29
Jan 1, 2020;4:00 AM;30.85;30.85;26.92
Jan 1, 2020;5:00 AM;30.14;30.14;26.96
Jan 1, 2020;6:00 AM;30.17;30.17;27.91
Jan 1, 2020;7:00 AM;30;30;27.63
Jan 1, 2020;8:00 AM;30.65;30.65;27.03
Jan 1, 2020;9:00 AM;30.65;30.65;27.96
Jan 1, 2020;10:00 AM;30.27;30.27;28.09
Jan 1, 2020;11:00 AM;30.34;30.34;27.36
Jan 1, 2020;12:00 PM;30.99;30.99;28.34
Jan 1, 2020;1:00 PM;30.04;30.04;27.21
Jan 1, 2020;2:00 PM;30.75;30.75;28.01
Jan 1, 2020;3:00 PM;32.11;32.11;31.09
Jan 1, 2020;4:00 PM;35.98;35.98;34.65
Jan 1, 2020;5:00 PM;40.4;40.4;40.23
Jan 1, 2020;6:00 PM;44.05;44.05;41.01
Jan 1, 2020;7:00 PM;43.15;46.16;41.14
Jan 1, 2020;8:00 PM;43.45;44.02;39.63
Jan 1, 2020;9:00 PM;40.68;40.68;35.96
Jan 1, 2020;10:00 PM;40.27;40.66;35.32
Jan 1, 2020;11:00 PM;34.85;36.69;31.85
Jan 2, 2020;12:00 AM;35.4;35.4;33.57
Jan 2, 2020;1:00 AM;31.98;31.98;31.7
Jan 2, 2020;2:00 AM;30.5;30.5;30.79
Jan 2, 2020;3:00 AM;28.79;28.79;29.08
Jan 2, 2020;4:00 AM;28.42;28.42;29.03
Jan 2, 2020;5:00 AM;28.75;28.75;30.29
Jan 2, 2020;6:00 AM;34.16;34.16;36.14
Jan 2, 2020;7:00 AM;42.07;42.07;41.7
Jan 2, 2020;8:00 AM;44.89;44.89;43.79
Jan 2, 2020;9:00 AM;45.26;45.26;44.22
Jan 2, 2020;10:00 AM;45.57;45.57;42.85
Jan 2, 2020;11:00 AM;45.09;45.09;43.02
Jan 2, 2020;12:00 PM;45.16;45.16;42.92
Jan 2, 2020;1:00 PM;44.9;44.9;42.57
Jan 2, 2020;2:00 PM;44.06;44.06;42.37
Jan 2, 2020;3:00 PM;44.84;43.94;41.65
Jan 2, 2020;4:00 PM;44.4;44.37;44.25
Jan 2, 2020;5:00 PM;46.05;46.05;46.06
Jan 2, 2020;6:00 PM;46.72;46.72;46.29
Jan 2, 2020;7:00 PM;45.26;46.11;45.57
Jan 2, 2020;8:00 PM;39.32;43.7;42.75
Jan 2, 2020;9:00 PM;34.06;34.76;37.47
Jan 2, 2020;10:00 PM;32.22;33.02;36.48
Jan 2, 2020;11:00 PM;24.99;33.39;35.48
Jan 3, 2020;12:00 AM;21.47;32.05;35.78
Jan 3, 2020;1:00 AM;13.04;30.75;34.16
Jan 3, 2020;2:00 AM;1.53;29.03;32
Jan 3, 2020;3:00 AM;0.14;24.96;31.28
Jan 3, 2020;4:00 AM;0.85;22.56;31.29
Jan 3, 2020;5:00 AM;9.92;26.16;34.5
Jan 3, 2020;6:00 AM;24.48;31.21;40.87
Jan 3, 2020;7:00 AM;26.68;36.73;43.42
Jan 3, 2020;8:00 AM;28.81;40.7;43.84
Jan 3, 2020;9:00 AM;29.28;44.18;44.33
Jan 3, 2020;10:00 AM;28.85;44.05;44.25
Jan 3, 2020;11:00 AM;31.8;41.92;44.16
Jan 3, 2020;12:00 PM;37.94;41.6;43.25
Jan 3, 2020;1:00 PM;37.9;39.23;42.64
Jan 3, 2020;2:00 PM;38.11;39.04;43.93
Jan 3, 2020;3:00 PM;37.91;38.41;42.09
Jan 3, 2020;4:00 PM;38.44;38.91;42.06
Jan 3, 2020;5:00 PM;40.47;43.51;42.92
Jan 3, 2020;6:00 PM;41.35;45.2;43.99
Jan 3, 2020;7:00 PM;33.37;45.15;43.52
Jan 3, 2020;8:00 PM;28.89;39.35;42.37
Jan 3, 2020;9:00 PM;27.7;32.34;41.44
Jan 3, 2020;10:00 PM;25.7;39.15;39.58
Jan 3, 2020;11:00 PM;22.04;37.85;36.33
Jan 4, 2020;12:00 AM;22.9;34.81;34.85
