Date;Time of day;Germany/Luxembourg[€/MWh];France[€/MWh];Switzerland[€/MWh]
Mar 25, 2019;12:00 AM;24.34;24.34;32.11
Mar 25, 2019;1:00 AM;22.5;29.04;29.51
Mar 25, 2019;2:00 AM;23.01;23.32;29.09
Mar 25, 2019;3:00 AM;20.89;21.12;25.07
Mar 25, 2019;4:00 AM;21.57;22.54;25.1
Mar 25, 2019;5:00 AM;26.05;26.36;30.08
Mar 25, 2019;6:00 AM;34.45;34.45;40.03
Mar 25, 2019;7:00 AM;38.39;43;43.06
Mar 25, 2019;8:00 AM;39.17;41.81;42.42
Mar 25, 2019;9:00 AM;29.93;41.25;40.87
Mar 25, 2019;10:00 AM;29.96;36;36.95
Mar 25, 2019;11:00 AM;30.79;31.65;36.54
Mar 25, 2019;12:00 PM;30.06;31.53;36.69
Mar 25, 2019;1:00 PM;31.33;31.66;36.91
Mar 25, 2019;2:00 PM;29.25;29.76;36.73
Mar 25, 2019;3:00 PM;29.67;30.08;36.66
Mar 25, 2019;4:00 PM;28.94;29.54;36.48
Mar 25, 2019;5:00 PM;36.68;36.68;37.82
Mar 25, 2019;6:00 PM;41.2;41.2;42.25
Mar 25, 2019;7:00 PM;46.45;47.01;44.11
Mar 25, 2019;8:00 PM;42.87;42.96;43.44
Mar 25, 2019;9:00 PM;39.81;39.81;41.46
Mar 25, 2019;10:00 PM;39.99;39.99;41.04
Mar 25, 2019;11:00 PM;37.56;37.56;37.07
Mar 26, 2019;12:00 AM;33.25;33.25;32.99
Mar 26, 2019;1:00 AM;30.79;30.87;31.44
Mar 26, 2019;2:00 AM;30.07;30.25;30.46
Mar 26, 2019;3:00 AM;30.01;30.21;29.98
Mar 26, 2019;4:00 AM;30.03;30.22;29.97
Mar 26, 2019;5:00 AM;32.5;32.5;33.75
Mar 26, 2019;6:00 AM;39;39;40.1
Mar 26, 2019;7:00 AM;42.8;43.71;43.56
Mar 26, 2019;8:00 AM;42.75;42.75;43.05
Mar 26, 2019;9:00 AM;35.9;41.01;41.64
Mar 26, 2019;10:00 AM;32.54;38.52;39.81
Mar 26, 2019;11:00 AM;32.58;35.69;39.8
Mar 26, 2019;12:00 PM;32.51;33.57;37.55
Mar 26, 2019;1:00 PM;31.78;32.86;36.96
Mar 26, 2019;2:00 PM;30.87;31.74;38.08
Mar 26, 2019;3:00 PM;31.94;32.27;37.34
Mar 26, 2019;4:00 PM;34;34;38.25
Mar 26, 2019;5:00 PM;39.76;39.76;41.7
Mar 26, 2019;6:00 PM;43;43;44.06
Mar 26, 2019;7:00 PM;49.4;49.4;48.35
Mar 26, 2019;8:00 PM;46.41;46.41;45.1
Mar 26, 2019;9:00 PM;43.37;43.37;42.54
Mar 26, 2019;10:00 PM;42.28;42.28;41.71
Mar 26, 2019;11:00 PM;38.42;38.42;38.96
