Date;Time of day;Germany/Luxembourg[€/MWh];France[€/MWh];Switzerland[€/MWh]
Feb 25, 2019;12:00 AM;38.7;38.7;39.34
Feb 25, 2019;1:00 AM;37.02;37.02;38.9
Feb 25, 2019;2:00 AM;37;37;37.62
Feb 25, 2019;3:00 AM;36.37;36.37;37.1
Feb 25, 2019;4:00 AM;36.06;36.06;37.93
Feb 25, 2019;5:00 AM;40.07;40.07;41.17
Feb 25, 2019;6:00 AM;50.02;50.02;50.15
Feb 25, 2019;7:00 AM;56.88;56.88;55.45
Feb 25, 2019;8:00 AM;55.59;55.59;55.42
Feb 25, 2019;9:00 AM;50.72;50.72;52.04
Feb 25, 2019;10:00 AM;45.18;48.71;50.13
Feb 25, 2019;11:00 AM;41.85;43.89;48.6
Feb 25, 2019;12:00 PM;40.09;42.1;44.91
Feb 25, 2019;1:00 PM;38.98;38.98;43.36
Feb 25, 2019;2:00 PM;37.88;37.88;42.08
Feb 25, 2019;3:00 PM;42;42;42.99
Feb 25, 2019;4:00 PM;44.4;44.4;47.2
Feb 25, 2019;5:00 PM;51.15;47.51;50.45
Feb 25, 2019;6:00 PM;55.07;51.78;52.18
Feb 25, 2019;7:00 PM;54.4;54.4;52.07
Feb 25, 2019;8:00 PM;50.61;50.61;50.29
Feb 25, 2019;9:00 PM;43.09;43.09;46.04
Feb 25, 2019;10:00 PM;42.4;42.4;45.49
Feb 25, 2019;11:00 PM;40.4;40.4;41.54
Feb 26, 2019;12:00 AM;37.1;37.1;39.09
Feb 26, 2019;1:00 AM;37;37;37.46
Feb 26, 2019;2:00 AM;36.84;36.84;38.12
Feb 26, 2019;3:00 AM;35.88;35.88;37.09
Feb 26, 2019;4:00 AM;36.77;36.77;36.88
Feb 26, 2019;5:00 AM;39.41;39.41;39.05
Feb 26, 2019;6:00 AM;48.74;48.74;48.42
Feb 26, 2019;7:00 AM;53.04;53.04;53.88
Feb 26, 2019;8:00 AM;51.88;51.88;53.6
Feb 26, 2019;9:00 AM;49.92;49.92;50.24
Feb 26, 2019;10:00 AM;44.39;46.62;45.98
Feb 26, 2019;11:00 AM;41.69;43.88;42.24
Feb 26, 2019;12:00 PM;39.28;39.28;40.57
Feb 26, 2019;1:00 PM;39;39;39.36
Feb 26, 2019;2:00 PM;37.91;37.91;39.2
Feb 26, 2019;3:00 PM;41.45;41.45;42.7
Feb 26, 2019;4:00 PM;46.88;39.09;46.32
Feb 26, 2019;5:00 PM;53.46;45.2;50.28
Feb 26, 2019;6:00 PM;58.17;49.68;54.03
Feb 26, 2019;7:00 PM;54.94;54.94;53.79
