Date;Time of day;Germany/Luxembourg[€/MWh];France[€/MWh];Switzerland[€/MWh]
Apr 22, 2019;12:00 AM;27.79;27.79;32.77
Apr 22, 2019;1:00 AM;19.18;19.18;28.78
Apr 22, 2019;2:00 AM;13;13;25.85
Apr 22, 2019;3:00 AM;10.01;10.01;26.02
Apr 22, 2019;4:00 AM;5.51;10.53;24.31
Apr 22, 2019;5:00 AM;14.82;9.54;23.01
Apr 22, 2019;6:00 AM;5.14;10.01;26.11
Apr 22, 2019;7:00 AM;3.46;7.74;25.3
Apr 22, 2019;8:00 AM;16.93;14.35;26.35
Apr 22, 2019;9:00 AM;6.45;11.76;23.94
Apr 22, 2019;10:00 AM;-5.26;7.32;10.59
Apr 22, 2019;11:00 AM;-54.91;5;0.02
Apr 22, 2019;12:00 PM;-62.08;10.71;4.55
Apr 22, 2019;1:00 PM;-77.31;5.44;-18.85
Apr 22, 2019;2:00 PM;-83.01;0.07;-22.72
Apr 22, 2019;3:00 PM;-79.97;-4.1;-21.21
Apr 22, 2019;4:00 PM;-68.75;-0.5;-9.17
Apr 22, 2019;5:00 PM;-43.07;3.06;1.07
Apr 22, 2019;6:00 PM;-0.39;10.7;21.23
Apr 22, 2019;7:00 PM;15.06;23.01;29.74
Apr 22, 2019;8:00 PM;17.03;24.66;30.24
Apr 22, 2019;9:00 PM;2.98;20.32;27.96
Apr 22, 2019;10:00 PM;0.03;12.92;27.08
Apr 22, 2019;11:00 PM;-18.85;8.02;24.89
Apr 23, 2019;12:00 AM;-1.72;8.41;4.99
Apr 23, 2019;1:00 AM;-6.95;6.76;4.93
Apr 23, 2019;2:00 AM;-9.64;2.76;3.78
Apr 23, 2019;3:00 AM;-11.03;1.85;0.81
Apr 23, 2019;4:00 AM;-9.56;3.51;0.37
Apr 23, 2019;5:00 AM;6.84;14.22;17.53
Apr 23, 2019;6:00 AM;29.45;29.45;30.37
Apr 23, 2019;7:00 AM;38.82;40.6;36.09
Apr 23, 2019;8:00 AM;38.53;41.38;36.07
Apr 23, 2019;9:00 AM;27.91;38.68;32.1
Apr 23, 2019;10:00 AM;16.47;24.46;20.47
Apr 23, 2019;11:00 AM;0.03;30.11;20.2
Apr 23, 2019;12:00 PM;-9.98;30.11;14.91
Apr 23, 2019;1:00 PM;-9.97;32.5;15.83
Apr 23, 2019;2:00 PM;-4.49;25.62;17.06
Apr 23, 2019;3:00 PM;0.13;28.27;18.93
Apr 23, 2019;4:00 PM;13.08;19.81;21.03
Apr 23, 2019;5:00 PM;31.56;33.49;30.17
Apr 23, 2019;6:00 PM;38.58;40.02;35.15
Apr 23, 2019;7:00 PM;41.11;42.88;37.02
Apr 23, 2019;8:00 PM;40.68;42.84;38.25
Apr 23, 2019;9:00 PM;36.37;41.69;34.44
Apr 23, 2019;10:00 PM;30.09;36.35;37.06
Apr 23, 2019;11:00 PM;27.72;30.71;32.09
Apr 24, 2019;12:00 AM;24.97;27.8;24.78
Apr 24, 2019;1:00 AM;24.57;26.71;23.53
Apr 24, 2019;2:00 AM;22.07;24.73;21.48
Apr 24, 2019;3:00 AM;17.95;18.38;20.01
Apr 24, 2019;4:00 AM;25.01;25.01;20.08
Apr 24, 2019;5:00 AM;27.53;27.53;25.47
Apr 24, 2019;6:00 AM;40.1;32.08;34.3
Apr 24, 2019;7:00 AM;43.18;43.18;40.71
Apr 24, 2019;8:00 AM;43.85;43.85;41.06
Apr 24, 2019;9:00 AM;41.97;41.97;38.37
Apr 24, 2019;10:00 AM;38.85;38.85;35.52
Apr 24, 2019;11:00 AM;34.43;34.43;33.29
Apr 24, 2019;12:00 PM;29.99;29.99;30.41
Apr 24, 2019;1:00 PM;32.52;32.52;27.98
Apr 24, 2019;2:00 PM;31.6;31.6;27.59
Apr 24, 2019;3:00 PM;31.18;30.59;29.71
Apr 24, 2019;4:00 PM;34.02;31.61;32.16
Apr 24, 2019;5:00 PM;40.98;31.53;37
Apr 24, 2019;6:00 PM;46.15;34.4;41.4
Apr 24, 2019;7:00 PM;46.03;39.45;42.75
Apr 24, 2019;8:00 PM;44.36;42.08;41.84
Apr 24, 2019;9:00 PM;42.42;41.29;40.39
Apr 24, 2019;10:00 PM;38.1;38.34;37.51
Apr 24, 2019;11:00 PM;31;33.46;33.11
Apr 25, 2019;12:00 AM;28.12;29.1;30.4
Apr 25, 2019;1:00 AM;26.1;26.1;29.02
Apr 25, 2019;2:00 AM;27.22;12.69;28.46
Apr 25, 2019;3:00 AM;28.65;5.48;29.21
Apr 25, 2019;4:00 AM;31.3;0.51;30.66
Apr 25, 2019;5:00 AM;37.89;5.53;33.57
Apr 25, 2019;6:00 AM;44.13;19.46;42.09
Apr 25, 2019;7:00 AM;50.82;24.04;39
Apr 25, 2019;8:00 AM;48.21;39.12;40.48
Apr 25, 2019;9:00 AM;44.41;38.06;40.07
Apr 25, 2019;10:00 AM;41.26;33.09;37.53
Apr 25, 2019;11:00 AM;37.65;37.65;35.32
Apr 25, 2019;12:00 PM;35.22;35.65;32.54
Apr 25, 2019;1:00 PM;32;32;31.58
Apr 25, 2019;2:00 PM;30.51;30.5;31.03
Apr 25, 2019;3:00 PM;31.36;27.35;31.8
Apr 25, 2019;4:00 PM;34.77;26.98;33.77
Apr 25, 2019;5:00 PM;41.21;25.69;34.12
Apr 25, 2019;6:00 PM;46.22;32.32;33.56
Apr 25, 2019;7:00 PM;57.49;38.08;36.46
Apr 25, 2019;8:00 PM;59.9;40.84;37.04
Apr 25, 2019;9:00 PM;47.78;46.36;37.92
Apr 25, 2019;10:00 PM;42.21;42.21;39.77
Apr 25, 2019;11:00 PM;39.04;39.04;36.48
Apr 26, 2019;12:00 AM;37;37;35.99
Apr 26, 2019;1:00 AM;35;35;33.76
Apr 26, 2019;2:00 AM;33.53;32.12;32.45
Apr 26, 2019;3:00 AM;34.88;27.98;32.29
Apr 26, 2019;4:00 AM;36.48;25.77;33.48
Apr 26, 2019;5:00 AM;39.52;29.99;38.09
Apr 26, 2019;6:00 AM;45.48;41.5;41.04
Apr 26, 2019;7:00 AM;53.6;50.79;42.8
Apr 26, 2019;8:00 AM;56.38;56.38;45.19
Apr 26, 2019;9:00 AM;52.94;52.94;45.9
Apr 26, 2019;10:00 AM;49.93;49.93;43.53
Apr 26, 2019;11:00 AM;46.94;46.94;42.94
Apr 26, 2019;12:00 PM;43.96;43.96;42.07
Apr 26, 2019;1:00 PM;42.16;42.16;40.22
Apr 26, 2019;2:00 PM;40.35;40.35;37.99
Apr 26, 2019;3:00 PM;40.51;38.53;37.44
Apr 26, 2019;4:00 PM;41.46;32.41;38.24
Apr 26, 2019;5:00 PM;45.72;30.49;39.78
Apr 26, 2019;6:00 PM;45;40.07;40.75
Apr 26, 2019;7:00 PM;49.06;42.51;40.8
Apr 26, 2019;8:00 PM;49.66;40.82;40.19
Apr 26, 2019;9:00 PM;46.41;42.54;41.83
Apr 26, 2019;10:00 PM;41.97;41.97;42.03
Apr 26, 2019;11:00 PM;37.05;37.05;39.55
Apr 27, 2019;12:00 AM;32.02;32.02;34.27
Apr 27, 2019;1:00 AM;30.1;30.1;31.32
Apr 27, 2019;2:00 AM;29.05;29.05;31.23
Apr 27, 2019;3:00 AM;28.04;28.04;30.53
Apr 27, 2019;4:00 AM;27.43;13.82;30.97
Apr 27, 2019;5:00 AM;26.76;13.38;31.45
Apr 27, 2019;6:00 AM;27.02;16.47;33.04
Apr 27, 2019;7:00 AM;31.99;15.45;32.99
Apr 27, 2019;8:00 AM;37.22;21.34;32.58
Apr 27, 2019;9:00 AM;35.41;27.47;34.04
Apr 27, 2019;10:00 AM;32.69;31.22;31.35
Apr 27, 2019;11:00 AM;31.99;29.04;30.81
Apr 27, 2019;12:00 PM;30.48;30.48;30.04
Apr 27, 2019;1:00 PM;27.9;26.47;26.71
Apr 27, 2019;2:00 PM;24.95;21.58;23.17
Apr 27, 2019;3:00 PM;27.82;13.89;24.68
Apr 27, 2019;4:00 PM;30.98;11.76;27.99
Apr 27, 2019;5:00 PM;33.1;10.49;34.41
Apr 27, 2019;6:00 PM;38.02;24.13;39.84
Apr 27, 2019;7:00 PM;39.92;20.59;42.2
Apr 27, 2019;8:00 PM;39.25;30.14;42.25
Apr 27, 2019;9:00 PM;37.63;37.31;39.6
Apr 27, 2019;10:00 PM;36.36;36.36;37.51
Apr 27, 2019;11:00 PM;31.57;31.57;35.03
Apr 28, 2019;12:00 AM;31.24;32.57;33.64
Apr 28, 2019;1:00 AM;29.05;30.74;31.57
Apr 28, 2019;2:00 AM;30;30;30.09
Apr 28, 2019;3:00 AM;29;29;29.07
Apr 28, 2019;4:00 AM;29.53;27.28;28.58
Apr 28, 2019;5:00 AM;29.96;27.69;27.49
Apr 28, 2019;6:00 AM;30.71;23.82;29.24
Apr 28, 2019;7:00 AM;31.66;26.16;30.41
Apr 28, 2019;8:00 AM;32.05;32.05;31.85
Apr 28, 2019;9:00 AM;34.41;31.42;33.89
Apr 28, 2019;10:00 AM;34.48;32.86;32.97
Apr 28, 2019;11:00 AM;35.53;32.69;33.84
Apr 28, 2019;12:00 PM;32.6;33.73;33.71
Apr 28, 2019;1:00 PM;31.44;30;30.11
Apr 28, 2019;2:00 PM;30.4;28;28.29
Apr 28, 2019;3:00 PM;29.77;28;28.36
Apr 28, 2019;4:00 PM;31.74;28.09;31.01
Apr 28, 2019;5:00 PM;35.51;32.38;35.45
Apr 28, 2019;6:00 PM;41.68;41.07;41.27
Apr 28, 2019;7:00 PM;45.32;43.31;43.61
Apr 28, 2019;8:00 PM;47.75;43.83;44.1
Apr 28, 2019;9:00 PM;46.07;46.07;43.93
Apr 28, 2019;10:00 PM;47.76;47.76;43.03
Apr 28, 2019;11:00 PM;44.56;44.56;40.55
Apr 29, 2019;12:00 AM;38.53;38.53;38.05
