Date;Time of day;Germany/Luxembourg[€/MWh];France[€/MWh];Switzerland[€/MWh]
Dec 2, 2019;12:00 AM;36.03;42.7;43.23
Dec 2, 2019;1:00 AM;36.93;37.22;40.74
Dec 2, 2019;2:00 AM;35.4;35.4;37.98
Dec 2, 2019;3:00 AM;34.46;34.46;37.15
Dec 2, 2019;4:00 AM;35.4;35.4;37.37
Dec 2, 2019;5:00 AM;36.3;36.3;42.1
Dec 2, 2019;6:00 AM;44.84;44.88;50.08
Dec 2, 2019;7:00 AM;52.97;56.77;58.02
Dec 2, 2019;8:00 AM;54.58;60.01;58.44
Dec 2, 2019;9:00 AM;54.09;60.51;58.28
Dec 2, 2019;10:00 AM;45.9;59.38;58.46
Dec 2, 2019;11:00 AM;43.59;56.12;58.47
Dec 2, 2019;12:00 PM;41.96;53.45;55.74
Dec 2, 2019;1:00 PM;42.87;52.14;55.69
Dec 2, 2019;2:00 PM;49;51.66;55.77
Dec 2, 2019;3:00 PM;52.95;53.09;55.94
Dec 2, 2019;4:00 PM;53.93;57.43;56.71
Dec 2, 2019;5:00 PM;57.23;67.64;58.03
Dec 2, 2019;6:00 PM;55.18;65.78;58.06
Dec 2, 2019;7:00 PM;55.5;62.62;57.75
Dec 2, 2019;8:00 PM;54.43;55.66;55.76
Dec 2, 2019;9:00 PM;49.33;49.33;52.58
Dec 2, 2019;10:00 PM;44.89;49.77;52
Dec 2, 2019;11:00 PM;40.58;45.82;49.93
Dec 3, 2019;12:00 AM;40.19;44.87;47.98
Dec 3, 2019;1:00 AM;39.74;41.68;44.58
Dec 3, 2019;2:00 AM;39.5;40.45;42.62
Dec 3, 2019;3:00 AM;38.5;38.75;41.85
Dec 3, 2019;4:00 AM;39.49;39.55;41.61
Dec 3, 2019;5:00 AM;42.81;43.11;45.08
Dec 3, 2019;6:00 AM;55.07;55.07;53.78
Dec 3, 2019;7:00 AM;67.28;67.28;59.67
Dec 3, 2019;8:00 AM;76.47;76.47;61.93
Dec 3, 2019;9:00 AM;71;71.5;60.16
Dec 3, 2019;10:00 AM;60.49;68.72;58.48
Dec 3, 2019;11:00 AM;59.31;63.08;58.08
Dec 3, 2019;12:00 PM;55.24;59.09;56.65
Dec 3, 2019;1:00 PM;54.5;56.25;56.4
Dec 3, 2019;2:00 PM;56.86;57.03;56
Dec 3, 2019;3:00 PM;57.9;58;57.99
Dec 3, 2019;4:00 PM;60;60;59.36
Dec 3, 2019;5:00 PM;61.8;70.5;59.06
Dec 3, 2019;6:00 PM;49.76;75.87;57.09
Dec 3, 2019;7:00 PM;47.32;73.38;57.52
Dec 3, 2019;8:00 PM;42.32;63.05;57.04
Dec 3, 2019;9:00 PM;40.67;58.24;54.1
Dec 3, 2019;10:00 PM;39.27;55.96;52.86
Dec 3, 2019;11:00 PM;37.05;50.38;50.15
Dec 4, 2019;12:00 AM;35;48.1;47.62
Dec 4, 2019;1:00 AM;35;45.4;45.86
Dec 4, 2019;2:00 AM;35.24;44.21;44.38
Dec 4, 2019;3:00 AM;35.58;42.02;41.8
Dec 4, 2019;4:00 AM;36.87;41.01;41.92
Dec 4, 2019;5:00 AM;37.51;44.94;44.73
Dec 4, 2019;6:00 AM;42.69;55.52;54.47
Dec 4, 2019;7:00 AM;53.4;67.8;59.04
Dec 4, 2019;8:00 AM;54.76;86.55;61.94
Dec 4, 2019;9:00 AM;51.47;75;58.62
Dec 4, 2019;10:00 AM;46.34;62.12;57.8
Dec 4, 2019;11:00 AM;44.99;61.56;56.43
Dec 4, 2019;12:00 PM;43.81;66.1;55.57
Dec 4, 2019;1:00 PM;47.99;56.63;56.62
Dec 4, 2019;2:00 PM;55.01;56.98;57.08
Dec 4, 2019;3:00 PM;58.3;58.3;58.05
Dec 4, 2019;4:00 PM;62.69;62.69;62.88
Dec 4, 2019;5:00 PM;70.6;75.15;70.71
Dec 4, 2019;6:00 PM;60.06;81.8;64.24
Dec 4, 2019;7:00 PM;60.1;78.08;59.82
Dec 4, 2019;8:00 PM;52.93;64.68;57.09
Dec 4, 2019;9:00 PM;49.5;54.11;54.75
Dec 4, 2019;10:00 PM;41.7;52.35;54.08
Dec 4, 2019;11:00 PM;39.1;48.71;52.66
Dec 5, 2019;12:00 AM;36.16;50;50.49
Dec 5, 2019;1:00 AM;35.73;45.56;47.52
Dec 5, 2019;2:00 AM;35.86;42.74;46
Dec 5, 2019;3:00 AM;35.75;39.54;44.68
Dec 5, 2019;4:00 AM;35.56;38.72;44.14
Dec 5, 2019;5:00 AM;36.14;43.11;46.74
Dec 5, 2019;6:00 AM;42.22;53;54.62
Dec 5, 2019;7:00 AM;59.59;69.97;60.33
Dec 5, 2019;8:00 AM;58.29;88.32;63.18
Dec 5, 2019;9:00 AM;51.23;67.45;60.49
Dec 5, 2019;10:00 AM;46.15;62.03;61.52
Dec 5, 2019;11:00 AM;41.87;60.57;60.44
Dec 5, 2019;12:00 PM;41.61;58.7;57.93
Dec 5, 2019;1:00 PM;41.52;58;58.51
Dec 5, 2019;2:00 PM;46.95;57.92;58.71
Dec 5, 2019;3:00 PM;50.41;58.74;59.82
Dec 5, 2019;4:00 PM;51.47;60.4;60.79
Dec 5, 2019;5:00 PM;46.63;71.71;68.08
Dec 5, 2019;6:00 PM;43.44;79.59;62.28
Dec 5, 2019;7:00 PM;38.15;68.89;60.5
Dec 5, 2019;8:00 PM;36.24;58.3;58.01
Dec 5, 2019;9:00 PM;34.89;53.05;55.16
