Date;Time of day;Germany/Luxembourg[€/MWh];France[€/MWh];Switzerland[€/MWh]
Jun 17, 2019;12:00 AM;33.06;33.06;32.49
Jun 17, 2019;1:00 AM;30.28;30.28;30.49
Jun 17, 2019;2:00 AM;29.96;19.93;29.93
Jun 17, 2019;3:00 AM;29.48;18.01;29.27
Jun 17, 2019;4:00 AM;29.49;18.23;29.46
Jun 17, 2019;5:00 AM;30.95;25.62;30.64
Jun 17, 2019;6:00 AM;45.79;24.56;40.93
Jun 17, 2019;7:00 AM;50.8;36.29;38.96
Jun 17, 2019;8:00 AM;49.02;35.82;40.92
Jun 17, 2019;9:00 AM;39.19;39.19;40.94
Jun 17, 2019;10:00 AM;34.64;34.64;37.82
Jun 17, 2019;11:00 AM;33.7;33.7;37.78
Jun 17, 2019;12:00 PM;33.99;33.99;34.77
Jun 17, 2019;1:00 PM;35.16;35.16;33.19
Jun 17, 2019;2:00 PM;34.76;34.76;33.51
Jun 17, 2019;3:00 PM;35.5;35.5;35.48
Jun 17, 2019;4:00 PM;39.52;36.2;36.85
Jun 17, 2019;5:00 PM;44.97;38.86;37.85
Jun 17, 2019;6:00 PM;57.06;41.06;39.12
Jun 17, 2019;7:00 PM;70.1;42.44;39.56
Jun 17, 2019;8:00 PM;69.52;39.97;37.85
Jun 17, 2019;9:00 PM;58.24;34.24;37.9
Jun 17, 2019;10:00 PM;45.53;41.09;40.66
Jun 17, 2019;11:00 PM;39.1;39.1;37.53
Jun 18, 2019;12:00 AM;32.97;32.97;33.08
Jun 18, 2019;1:00 AM;32.85;32.85;30.36
Jun 18, 2019;2:00 AM;30.6;28.54;29.42
Jun 18, 2019;3:00 AM;30.05;15.83;29.1
Jun 18, 2019;4:00 AM;30.96;15.64;29.06
Jun 18, 2019;5:00 AM;31.09;20.07;29.9
Jun 18, 2019;6:00 AM;41.26;30.9;34.4
Jun 18, 2019;7:00 AM;51.74;31.83;38.72
Jun 18, 2019;8:00 AM;49.75;41.05;39.09
Jun 18, 2019;9:00 AM;43.74;41.61;40.32
Jun 18, 2019;10:00 AM;39.92;39.92;38.34
Jun 18, 2019;11:00 AM;38.9;38.9;37.51
Jun 18, 2019;12:00 PM;37.12;37.12;34.74
Jun 18, 2019;1:00 PM;36.1;36.1;34.46
Jun 18, 2019;2:00 PM;36.06;36.06;34.91
Jun 18, 2019;3:00 PM;38.37;33.2;35.01
Jun 18, 2019;4:00 PM;42.92;34.65;37.07
Jun 18, 2019;5:00 PM;47.74;39.51;39.49
Jun 18, 2019;6:00 PM;51.96;41.06;40.06
