Date;Time of day;Germany/Luxembourg[€/MWh];France[€/MWh];Switzerland[€/MWh]
May 20, 2019;12:00 AM;37.3;37.3;36.52
May 20, 2019;1:00 AM;35;35;35.26
May 20, 2019;2:00 AM;34.55;34.55;34.47
May 20, 2019;3:00 AM;34.13;33.51;34.28
May 20, 2019;4:00 AM;33.77;33.77;34.61
May 20, 2019;5:00 AM;36.04;36.04;36.54
May 20, 2019;6:00 AM;48.06;44.31;45.06
May 20, 2019;7:00 AM;60.87;55.01;51.28
May 20, 2019;8:00 AM;63.22;57.38;54.14
May 20, 2019;9:00 AM;57.73;57.45;52.35
May 20, 2019;10:00 AM;56.63;56.63;50.09
May 20, 2019;11:00 AM;55.5;55.5;49.93
May 20, 2019;12:00 PM;51.99;51.99;47.59
May 20, 2019;1:00 PM;50.29;50.29;46.21
May 20, 2019;2:00 PM;47.59;47.59;44.54
May 20, 2019;3:00 PM;46.01;45.06;43.79
May 20, 2019;4:00 PM;45.1;43.25;44.05
May 20, 2019;5:00 PM;46.09;46.09;45.1
May 20, 2019;6:00 PM;47.91;47.91;47.31
May 20, 2019;7:00 PM;49.39;49.39;48.99
May 20, 2019;8:00 PM;46.18;46.18;47.65
May 20, 2019;9:00 PM;45.8;45.8;45.93
May 20, 2019;10:00 PM;44.17;44.17;44.98
May 20, 2019;11:00 PM;37.66;37.66;39.74
May 21, 2019;12:00 AM;35.2;35.2;35.6
May 21, 2019;1:00 AM;34.44;34.44;34.26
May 21, 2019;2:00 AM;33.12;33.12;33.93
May 21, 2019;3:00 AM;31.49;31.49;33.16
May 21, 2019;4:00 AM;32.37;32.37;33.36
May 21, 2019;5:00 AM;35.04;33.03;34.74
May 21, 2019;6:00 AM;40.81;40.07;43.54
May 21, 2019;7:00 AM;50.08;48.06;48.94
May 21, 2019;8:00 AM;57.61;57.61;52.6
May 21, 2019;9:00 AM;55;55;50.14
May 21, 2019;10:00 AM;52.52;52.52;49.21
May 21, 2019;11:00 AM;51.15;51.15;47.13
